index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|10, 0.0460913, 4219598, 0.7753
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|20, 0.0675753, 5826190, 0.88917
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|30, 0.0904434, 7258008, 0.93184
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|40, 0.111223, 8622806, 0.95407
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|50, 0.131064, 9950414, 0.96791
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|60, 0.146923, 11250660, 0.97573
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|70, 0.168057, 12519088, 0.98119
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|80, 0.185466, 13762338, 0.98518
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|90, 0.195114, 14986875, 0.98802
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|100, 0.2082, 16193781, 0.99051
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|110, 0.223029, 17381161, 0.99213
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|120, 0.237554, 18548334, 0.99345
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|130, 0.250784, 19706287, 0.99435
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|140, 0.256078, 20846174, 0.99505
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|150, 0.320696, 21977822, 0.99557
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|160, 0.308265, 23090082, 0.99618
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|170, 0.321661, 24188988, 0.99653
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|180, 0.335611, 25279009, 0.99682
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|190, 0.348322, 26360322, 0.99718
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|200, 0.385626, 27427500, 0.99751
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|210, 0.391128, 28491439, 0.99791
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|220, 0.395481, 29533458, 0.99805
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|230, 0.409129, 30569454, 0.99819
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|240, 0.417216, 31601864, 0.99837
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|250, 0.510807, 32620743, 0.99851
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|260, 0.509106, 33630882, 0.9986
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|270, 0.537827, 34634940, 0.99874
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|280, 0.550584, 35631934, 0.99892
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|290, 0.510797, 36622755, 0.9991
cspg, 2, 10, 1000, 5, 158.107, 672274720, 10000, 1|300, 0.508923, 37605353, 0.99921
