index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 10, 0.0534327, 5470241, 0.75678
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 20, 0.0832981, 7765556, 0.86658
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 30, 0.108584, 9910523, 0.9128
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 40, 0.133883, 11954943, 0.93711
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 50, 0.171654, 13926616, 0.95216
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 60, 0.198146, 15835878, 0.96186
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 70, 0.221073, 17686658, 0.9685
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 80, 0.237769, 19496354, 0.97328
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 90, 0.250603, 21257151, 0.97656
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 100, 0.271079, 22980983, 0.97923
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 110, 0.292685, 24666470, 0.98141
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 120, 0.313033, 26316144, 0.9833
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 130, 0.331095, 27938834, 0.98466
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 140, 0.362141, 29538318, 0.98562
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 150, 0.370337, 31111716, 0.98669
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 160, 0.389746, 32655295, 0.98745
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 170, 0.400747, 34183711, 0.98806
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 180, 0.411105, 35681000, 0.98852
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 190, 0.432172, 37170817, 0.98908
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 200, 0.44614, 38637233, 0.98948
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 210, 0.474727, 40079718, 0.98992
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 220, 0.487511, 41509269, 0.99016
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 230, 0.504053, 42927115, 0.9905
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 240, 0.537035, 44327830, 0.9907
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 250, 0.554028, 45711874, 0.99097
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 260, 0.583197, 47084113, 0.99114
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 270, 0.600327, 48441366, 0.99131
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 280, 0.62485, 49785549, 0.99153
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 290, 0.635313, 51123009, 0.99164
hnsw, 1, 32, 128, 31.6782, 1040377160, 10000, 300, 0.66922, 52450550, 0.99186
