index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg, 1, 32, 128, 54.852, 144000000, 10000, 10, 0.0406438, 2142771, 0.20086
nsg, 1, 32, 128, 54.852, 144000000, 10000, 20, 0.0741589, 4133886, 0.65592
nsg, 1, 32, 128, 54.852, 144000000, 10000, 30, 0.103264, 6088651, 0.78816
nsg, 1, 32, 128, 54.852, 144000000, 10000, 40, 0.132243, 8016540, 0.84254
nsg, 1, 32, 128, 54.852, 144000000, 10000, 50, 0.160444, 9923307, 0.87394
nsg, 1, 32, 128, 54.852, 144000000, 10000, 60, 0.186612, 11815351, 0.8953
nsg, 1, 32, 128, 54.852, 144000000, 10000, 70, 0.222708, 13705962, 0.91039
nsg, 1, 32, 128, 54.852, 144000000, 10000, 80, 0.253912, 15589163, 0.92113
nsg, 1, 32, 128, 54.852, 144000000, 10000, 90, 0.288779, 17469322, 0.9293
nsg, 1, 32, 128, 54.852, 144000000, 10000, 100, 0.322536, 19344784, 0.9365
nsg, 1, 32, 128, 54.852, 144000000, 10000, 110, 0.361022, 21220543, 0.94195
nsg, 1, 32, 128, 54.852, 144000000, 10000, 120, 0.415145, 23086144, 0.94651
nsg, 1, 32, 128, 54.852, 144000000, 10000, 130, 0.447811, 24954383, 0.95028
nsg, 1, 32, 128, 54.852, 144000000, 10000, 140, 0.495862, 26817398, 0.95388
nsg, 1, 32, 128, 54.852, 144000000, 10000, 150, 0.548707, 28680475, 0.9565
nsg, 1, 32, 128, 54.852, 144000000, 10000, 160, 0.602677, 30534697, 0.95959
nsg, 1, 32, 128, 54.852, 144000000, 10000, 170, 0.658429, 32378091, 0.96179
nsg, 1, 32, 128, 54.852, 144000000, 10000, 180, 0.721453, 34235783, 0.9637
nsg, 1, 32, 128, 54.852, 144000000, 10000, 190, 0.78172, 36072725, 0.96507
nsg, 1, 32, 128, 54.852, 144000000, 10000, 200, 0.829858, 37913301, 0.96664
nsg, 1, 32, 128, 54.852, 144000000, 10000, 210, 0.908164, 39746878, 0.96818
nsg, 1, 32, 128, 54.852, 144000000, 10000, 220, 0.983173, 41598149, 0.96965
nsg, 1, 32, 128, 54.852, 144000000, 10000, 230, 1.04628, 43428241, 0.97089
nsg, 1, 32, 128, 54.852, 144000000, 10000, 240, 1.12821, 45274464, 0.97209
nsg, 1, 32, 128, 54.852, 144000000, 10000, 250, 1.20086, 47114718, 0.97304
nsg, 1, 32, 128, 54.852, 144000000, 10000, 260, 1.27619, 48934461, 0.97424
nsg, 1, 32, 128, 54.852, 144000000, 10000, 270, 1.36786, 50759477, 0.97511
nsg, 1, 32, 128, 54.852, 144000000, 10000, 280, 1.45106, 52578322, 0.97572
nsg, 1, 32, 128, 54.852, 144000000, 10000, 290, 1.5392, 54408646, 0.97655
nsg, 1, 32, 128, 54.852, 144000000, 10000, 300, 1.62204, 56228927, 0.97684
