index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|10, 0.0534042, 5785555, 0.88168
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|20, 0.0743026, 7875803, 0.95529
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|30, 0.0980879, 9776359, 0.97637
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|40, 0.124471, 11596815, 0.98625
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|50, 0.138081, 13349705, 0.99162
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|60, 0.161266, 15052400, 0.99402
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|70, 0.179532, 16717341, 0.99564
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|80, 0.195179, 18343208, 0.99667
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|90, 0.211907, 19937838, 0.99749
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|100, 0.230854, 21504980, 0.99808
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|110, 0.252072, 23045431, 0.99846
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|120, 0.281324, 24554344, 0.99876
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|130, 0.290952, 26044371, 0.99912
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|140, 0.301871, 27511455, 0.99927
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|150, 0.326188, 28956116, 0.99938
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|160, 0.338072, 30382727, 0.99945
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|170, 0.375335, 31799802, 0.99957
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|180, 0.365446, 33189353, 0.99957
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|190, 0.379367, 34570249, 0.99959
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|200, 0.428394, 35931906, 0.99964
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|210, 0.428108, 37283955, 0.99968
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|220, 0.449573, 38614963, 0.9997
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|230, 0.511047, 39936539, 0.99973
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|240, 0.507138, 41245970, 0.99978
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|250, 0.517119, 42542643, 0.99982
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|260, 0.53929, 43828463, 0.99983
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|270, 0.542722, 45104318, 0.99983
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|280, 0.566597, 46369954, 0.99983
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|290, 0.578992, 47623375, 0.99985
cspg, 2, 32, 1.2, 128, 138.861, 1356000000, 10000, 1|300, 0.591957, 48865881, 0.99987
