index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 70, 0.153032, 2002823, 0.7236
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 80, 0.168887, 2281970, 0.7492
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 90, 0.185555, 2564900, 0.7721
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 100, 0.20564, 2838300, 0.7963
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 110, 0.218831, 3118527, 0.8116
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 120, 0.239028, 3392052, 0.825
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 130, 0.253554, 3670898, 0.8377
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 140, 0.276362, 3939237, 0.8483
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 150, 0.297965, 4215137, 0.8592
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 160, 0.311308, 4495518, 0.8685
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 170, 0.319519, 4766914, 0.8744
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 180, 0.345474, 5038831, 0.8819
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 190, 0.348119, 5312103, 0.8878
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 200, 0.352246, 5586432, 0.891
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 210, 0.35496, 5857775, 0.8963
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 220, 0.372393, 6131772, 0.8989
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 230, 0.382713, 6400239, 0.9037
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 240, 0.402321, 6673319, 0.9051
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 250, 0.420527, 6945573, 0.9093
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 260, 0.438044, 7213925, 0.9126
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 270, 0.459058, 7485254, 0.916
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 280, 0.480639, 7754918, 0.9178
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 290, 0.50029, 8026675, 0.9214
hcnng, 1, 10, 1000, 5, 320.927, 3907108592, 1000, 300, 0.515056, 8299216, 0.9228
