index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 40, 0.112382, 1435587, 0.727
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 50, 0.132379, 1671664, 0.7609
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 60, 0.154249, 1910193, 0.7909
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 70, 0.171893, 2137362, 0.814
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 80, 0.193095, 2368243, 0.8331
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 90, 0.213892, 2594625, 0.8472
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 100, 0.236847, 2817273, 0.8608
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 110, 0.256206, 3034677, 0.8729
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 120, 0.271356, 3249039, 0.8832
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 130, 0.28577, 3459700, 0.8901
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 140, 0.308515, 3669493, 0.8971
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 150, 0.326591, 3877823, 0.9031
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 160, 0.344444, 4080373, 0.9073
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 170, 0.360376, 4284381, 0.9126
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 180, 0.374202, 4484658, 0.9181
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 190, 0.396331, 4681178, 0.9217
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 200, 0.414835, 4877420, 0.9267
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 210, 0.421489, 5069790, 0.9307
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 220, 0.441579, 5262084, 0.9343
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 230, 0.456737, 5454815, 0.9369
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 240, 0.471814, 5643636, 0.9395
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 250, 0.483426, 5828624, 0.9432
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 260, 0.511162, 6012972, 0.9451
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 270, 0.523843, 6195841, 0.9468
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 280, 0.543197, 6378103, 0.9486
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 290, 0.54821, 6560187, 0.9506
hnsw, 1, 32, 128, 246.435, 7952376752, 1000, 300, 0.571219, 6739034, 0.9531
