index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|50, 0.229944, 1768806, 0.8772
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|60, 0.273008, 2001234, 0.9019
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|70, 0.325103, 2234727, 0.9196
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|80, 0.365866, 2468576, 0.9322
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|90, 0.364783, 2697823, 0.9425
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|100, 0.378773, 2921105, 0.95
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|110, 0.404671, 3141978, 0.9571
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|120, 0.429558, 3362305, 0.962
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|130, 0.45741, 3580707, 0.9664
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|140, 0.491428, 3795080, 0.9689
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|150, 0.527804, 4009942, 0.9726
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|160, 0.520164, 4217751, 0.9773
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|170, 0.535627, 4432031, 0.979
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|180, 0.568014, 4641294, 0.9812
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|190, 0.574497, 4849082, 0.9833
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|200, 0.64508, 5056447, 0.9842
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|210, 0.643871, 5256022, 0.9854
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|220, 0.666278, 5458719, 0.9859
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|230, 0.678374, 5660414, 0.9873
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|240, 0.701566, 5856412, 0.988
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|250, 0.730198, 6054334, 0.9887
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|260, 0.749445, 6252927, 0.9896
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|270, 0.779569, 6448442, 0.9906
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|280, 0.78002, 6639713, 0.9915
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|290, 0.825982, 6830095, 0.9919
cspg, 2, 32, 128, 400.629, 11928607288, 1000, 1|300, 0.85763, 7018548, 0.9926
