index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg, 1, 32, 128, 183.55, 144000000, 1000, 10, 0.030674, 208304, 0.1054
nsg, 1, 32, 128, 183.55, 144000000, 1000, 20, 0.0685611, 417384, 0.34
nsg, 1, 32, 128, 183.55, 144000000, 1000, 30, 0.10719, 619799, 0.4643
nsg, 1, 32, 128, 183.55, 144000000, 1000, 40, 0.124387, 818478, 0.5355
nsg, 1, 32, 128, 183.55, 144000000, 1000, 50, 0.152992, 1012509, 0.5898
nsg, 1, 32, 128, 183.55, 144000000, 1000, 60, 0.178739, 1208124, 0.6318
nsg, 1, 32, 128, 183.55, 144000000, 1000, 70, 0.189847, 1403005, 0.6616
nsg, 1, 32, 128, 183.55, 144000000, 1000, 80, 0.230352, 1595348, 0.683
nsg, 1, 32, 128, 183.55, 144000000, 1000, 90, 0.22601, 1789633, 0.706
nsg, 1, 32, 128, 183.55, 144000000, 1000, 100, 0.265135, 1983043, 0.7256
nsg, 1, 32, 128, 183.55, 144000000, 1000, 110, 0.311945, 2176311, 0.7435
nsg, 1, 32, 128, 183.55, 144000000, 1000, 120, 0.279, 2368244, 0.7573
nsg, 1, 32, 128, 183.55, 144000000, 1000, 130, 0.297197, 2559374, 0.7705
nsg, 1, 32, 128, 183.55, 144000000, 1000, 140, 0.326289, 2750649, 0.7807
nsg, 1, 32, 128, 183.55, 144000000, 1000, 150, 0.358158, 2943589, 0.7888
nsg, 1, 32, 128, 183.55, 144000000, 1000, 160, 0.375362, 3133609, 0.7973
nsg, 1, 32, 128, 183.55, 144000000, 1000, 170, 0.395518, 3323410, 0.8053
nsg, 1, 32, 128, 183.55, 144000000, 1000, 180, 0.409834, 3510046, 0.8118
nsg, 1, 32, 128, 183.55, 144000000, 1000, 190, 0.461843, 3701664, 0.8199
nsg, 1, 32, 128, 183.55, 144000000, 1000, 200, 0.436623, 3895106, 0.8259
nsg, 1, 32, 128, 183.55, 144000000, 1000, 210, 0.478229, 4082028, 0.8289
nsg, 1, 32, 128, 183.55, 144000000, 1000, 220, 0.535149, 4270211, 0.835
nsg, 1, 32, 128, 183.55, 144000000, 1000, 230, 0.479134, 4459506, 0.8396
nsg, 1, 32, 128, 183.55, 144000000, 1000, 240, 0.531869, 4648306, 0.8458
nsg, 1, 32, 128, 183.55, 144000000, 1000, 250, 0.528779, 4837098, 0.8496
nsg, 1, 32, 128, 183.55, 144000000, 1000, 260, 0.606723, 5020403, 0.8549
nsg, 1, 32, 128, 183.55, 144000000, 1000, 270, 0.579849, 5207606, 0.8585
nsg, 1, 32, 128, 183.55, 144000000, 1000, 280, 0.573486, 5399803, 0.8611
nsg, 1, 32, 128, 183.55, 144000000, 1000, 290, 0.624692, 5585974, 0.8645
nsg, 1, 32, 128, 183.55, 144000000, 1000, 300, 0.705604, 5776484, 0.8678
