index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|10, 0.0693286, 469133, 0.5017
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|20, 0.0999169, 673248, 0.661
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|30, 0.128513, 849716, 0.7477
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|40, 0.16307, 1021262, 0.8073
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|50, 0.1657, 1183469, 0.8453
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|60, 0.196187, 1343636, 0.871
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|70, 0.211573, 1497629, 0.8928
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|80, 0.233748, 1647527, 0.9063
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|90, 0.266704, 1801949, 0.9196
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|100, 0.284372, 1953269, 0.9305
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|110, 0.297757, 2103652, 0.9411
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|120, 0.339539, 2248292, 0.9479
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|130, 0.335451, 2396914, 0.9554
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|140, 0.328284, 2541856, 0.9601
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|150, 0.362974, 2682776, 0.9644
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|160, 0.386265, 2828249, 0.969
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|170, 0.379534, 2969712, 0.9727
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|180, 0.372349, 3110330, 0.9737
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|190, 0.406487, 3251466, 0.9759
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|200, 0.443021, 3390130, 0.9774
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|210, 0.465264, 3533521, 0.9791
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|220, 0.454776, 3667331, 0.98
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|230, 0.510015, 3800806, 0.9812
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|240, 0.533964, 3936356, 0.9831
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|250, 0.530968, 4068763, 0.9842
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|260, 0.533115, 4203687, 0.9849
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|270, 0.547125, 4335527, 0.9856
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|280, 0.598776, 4469428, 0.9872
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|290, 0.626298, 4600787, 0.9883
cspg, 2, 32, 128, 262.024, 216000000, 1000, 1|300, 0.620502, 4730399, 0.9893
