index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|40, 0.158643, 1320334, 0.8339
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|50, 0.193493, 1517053, 0.8717
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|60, 0.226127, 1705576, 0.8937
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|70, 0.232435, 1891223, 0.9128
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|80, 0.245641, 2065225, 0.9249
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|90, 0.25211, 2243184, 0.9371
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|100, 0.267118, 2412639, 0.9451
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|110, 0.287815, 2586871, 0.9533
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|120, 0.295651, 2750639, 0.9593
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|130, 0.328047, 2912794, 0.9639
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|140, 0.387067, 3076904, 0.9679
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|150, 0.379735, 3239559, 0.9713
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|160, 0.391742, 3400948, 0.9757
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|170, 0.397518, 3554930, 0.9774
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|180, 0.448588, 3712172, 0.9794
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|190, 0.431755, 3866585, 0.9809
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|200, 0.474489, 4023615, 0.9835
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|210, 0.501301, 4172828, 0.9842
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|220, 0.500638, 4325828, 0.9858
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|230, 0.501281, 4474659, 0.9868
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|240, 0.522134, 4625210, 0.9878
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|250, 0.52678, 4772750, 0.9891
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|260, 0.558565, 4916251, 0.9901
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|270, 0.553024, 5060166, 0.9904
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|280, 0.580446, 5205547, 0.991
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|290, 0.615633, 5348869, 0.9923
cspg, 2, 32, 1.2, 128, 626.01, 11724000000, 1000, 1|300, 0.623829, 5489502, 0.9927
