index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 50, 0.153232, 9457095, 0.70482
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 60, 0.181257, 11311358, 0.74681
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 70, 0.216605, 13158299, 0.77717
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 80, 0.245272, 14989397, 0.80069
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 90, 0.275865, 16818604, 0.81946
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 100, 0.30628, 18646102, 0.83474
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 110, 0.349009, 20465816, 0.84756
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 120, 0.394251, 22275226, 0.85947
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 130, 0.435768, 24073748, 0.86917
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 140, 0.479679, 25890120, 0.87781
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 150, 0.527169, 27696024, 0.88547
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 160, 0.577574, 29498338, 0.89126
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 170, 0.62487, 31296179, 0.89724
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 180, 0.667079, 33092793, 0.9025
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 190, 0.725648, 34885405, 0.9083
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 200, 0.770332, 36655083, 0.91208
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 210, 0.814796, 38438553, 0.91646
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 220, 0.877282, 40224704, 0.92056
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 230, 0.968751, 42004572, 0.92318
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 240, 1.01063, 43792164, 0.9271
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 250, 1.07933, 45570346, 0.92923
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 260, 1.15881, 47339044, 0.93214
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 270, 1.23017, 49124615, 0.9341
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 280, 1.31428, 50897808, 0.93706
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 290, 1.39328, 52679766, 0.93889
hcnng, 1, 10, 1000, 5, 1025.89, 1943929240, 10000, 300, 1.4582, 54444181, 0.94073
