index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|20, 0.122621, 6976637, 0.80039
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|30, 0.156612, 8589779, 0.8682
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|40, 0.181545, 10104131, 0.90492
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|50, 0.204776, 11580085, 0.92872
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|60, 0.233417, 13032551, 0.94477
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|70, 0.259424, 14484583, 0.95624
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|80, 0.284987, 15892507, 0.96446
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|90, 0.314331, 17290135, 0.97031
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|100, 0.342866, 18683788, 0.97535
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|110, 0.375154, 20062503, 0.9795
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|120, 0.391755, 21433825, 0.98265
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|130, 0.425601, 22803620, 0.98509
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|140, 0.454049, 24157069, 0.98702
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|150, 0.483014, 25494959, 0.98862
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|160, 0.504818, 26832814, 0.99013
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|170, 0.536477, 28154399, 0.99136
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|180, 0.569047, 29469908, 0.99224
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|190, 0.583777, 30777365, 0.99291
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|200, 0.620612, 32084476, 0.99376
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|210, 0.632118, 33376443, 0.99428
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|220, 0.649819, 34669948, 0.99486
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|230, 0.703806, 35955837, 0.99524
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|240, 0.714012, 37232974, 0.9956
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|250, 0.752046, 38500814, 0.99602
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|260, 0.764588, 39763861, 0.9964
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|270, 0.80104, 41017825, 0.99675
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|280, 0.813004, 42274475, 0.99698
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|290, 0.821592, 43524810, 0.99719
cspg, 2, 10, 1000, 5, 1504.71, 2906713680, 10000, 1|300, 0.853521, 44776784, 0.99733
