index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 20, 0.122044, 9208763, 0.82451
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 30, 0.16424, 11906900, 0.88362
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 40, 0.202539, 14529066, 0.91628
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 50, 0.239066, 17110835, 0.93675
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 60, 0.274785, 19652569, 0.95018
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 70, 0.313792, 22139813, 0.95952
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 80, 0.346736, 24589818, 0.96677
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 90, 0.380439, 27006329, 0.97215
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 100, 0.415435, 29382825, 0.97623
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 110, 0.461761, 31736277, 0.97949
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 120, 0.491344, 34053365, 0.98192
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 130, 0.538119, 36345158, 0.98394
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 140, 0.567181, 38613828, 0.98542
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 150, 0.594467, 40863371, 0.98695
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 160, 0.628427, 43083015, 0.9882
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 170, 0.671949, 45283402, 0.98926
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 180, 0.7067, 47455864, 0.99007
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 190, 0.737855, 49615761, 0.99095
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 200, 0.771525, 51759428, 0.99161
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 210, 0.809097, 53887705, 0.99225
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 220, 0.837889, 55995812, 0.99267
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 230, 0.867644, 58092982, 0.99303
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 240, 0.903171, 60165346, 0.9935
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 250, 0.933415, 62227039, 0.9939
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 260, 0.963923, 64271347, 0.99428
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 270, 0.991588, 66305663, 0.99456
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 280, 1.03032, 68329109, 0.99474
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 290, 1.04317, 70333816, 0.99502
hnsw, 1, 32, 128, 465.493, 5283779080, 10000, 300, 1.07433, 72335709, 0.99516
