index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|20, 0.167257, 9741658, 0.91227
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|30, 0.214056, 12514369, 0.95059
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|40, 0.26536, 15171261, 0.96823
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|50, 0.32576, 17807285, 0.97862
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|60, 0.368418, 20397557, 0.98468
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|70, 0.417812, 22944612, 0.9885
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|80, 0.450874, 25457371, 0.99039
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|90, 0.505864, 27953282, 0.99184
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|100, 0.551532, 30411535, 0.99285
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|110, 0.594703, 32836123, 0.99361
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|120, 0.669625, 35239333, 0.99399
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|130, 0.708124, 37621180, 0.9944
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|140, 0.756041, 39988628, 0.99479
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|150, 0.766463, 42329227, 0.99508
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|160, 0.789976, 44651414, 0.99533
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|170, 0.833, 46966510, 0.99544
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|180, 0.889479, 49245972, 0.99556
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|190, 0.916667, 51506115, 0.99568
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|200, 0.957548, 53757801, 0.99576
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|210, 1.01919, 55988594, 0.99585
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|220, 1.07909, 58201782, 0.99586
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|230, 1.09763, 60406455, 0.99591
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|240, 1.13337, 62597305, 0.99591
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|250, 1.15722, 64777495, 0.99594
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|260, 1.20391, 66936100, 0.99596
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|270, 1.24089, 69090456, 0.99597
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|280, 1.26294, 71224492, 0.99599
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|290, 1.34518, 73342197, 0.99601
cspg, 2, 32, 128, 675.517, 7925611432, 10000, 1|300, 1.38085, 75460227, 0.99601
