index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 10, 0.0489299, 2485836, 0.11566
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 20, 0.0966196, 4728142, 0.53456
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 30, 0.139504, 6915653, 0.70037
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 40, 0.177589, 9087974, 0.77856
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 50, 0.211074, 11250047, 0.82258
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 60, 0.247254, 13405197, 0.85399
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 70, 0.287617, 15550684, 0.87569
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 80, 0.331381, 17680303, 0.89139
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 90, 0.374679, 19810216, 0.90302
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 100, 0.416498, 21939078, 0.91289
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 110, 0.461312, 24057108, 0.92128
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 120, 0.512316, 26170529, 0.9278
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 130, 0.5628, 28273005, 0.93356
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 140, 0.615867, 30386382, 0.93855
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 150, 0.672318, 32476619, 0.94243
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 160, 0.734981, 34579107, 0.94616
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 170, 0.803623, 36681201, 0.94984
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 180, 0.859078, 38770764, 0.9518
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 190, 0.919803, 40866136, 0.95449
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 200, 0.99432, 42967270, 0.95706
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 210, 1.05649, 45047945, 0.95892
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 220, 1.14125, 47138748, 0.96117
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 230, 1.23349, 49207763, 0.9632
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 240, 1.30069, 51297739, 0.96469
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 250, 1.38156, 53369171, 0.96638
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 260, 1.46629, 55461803, 0.96758
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 270, 1.56659, 57535184, 0.96924
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 280, 1.6444, 59620522, 0.97016
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 290, 1.7423, 61684093, 0.97093
nsg, 1, 32, 128, 668.185, 1440000000, 10000, 300, 1.83523, 63755755, 0.97165
