index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,32,1.2,128,110.76,144000000,10000,10,0.0543285,2896631,0.19358
vamana,1,32,1.2,128,110.76,144000000,10000,20,0.0997868,5534333,0.73803
vamana,1,32,1.2,128,110.76,144000000,10000,30,0.162094,8115999,0.87066
vamana,1,32,1.2,128,110.76,144000000,10000,40,0.463274,10676644,0.91265
vamana,1,32,1.2,128,110.76,144000000,10000,50,0.530853,13219182,0.93425
vamana,1,32,1.2,128,110.76,144000000,10000,60,0.541196,15752597,0.94728
vamana,1,32,1.2,128,110.76,144000000,10000,70,0.270093,18281316,0.95693
vamana,1,32,1.2,128,110.76,144000000,10000,80,0.302717,20799481,0.96268
vamana,1,32,1.2,128,110.76,144000000,10000,90,0.341341,23305857,0.9679
vamana,1,32,1.2,128,110.76,144000000,10000,100,0.384027,25816771,0.97149
vamana,1,32,1.2,128,110.76,144000000,10000,110,0.415252,28329834,0.97454
vamana,1,32,1.2,128,110.76,144000000,10000,120,0.466219,30833503,0.97724
vamana,1,32,1.2,128,110.76,144000000,10000,130,0.510656,33334243,0.97922
vamana,1,32,1.2,128,110.76,144000000,10000,140,0.558665,35820910,0.98119
vamana,1,32,1.2,128,110.76,144000000,10000,150,0.614491,38322389,0.98245
vamana,1,32,1.2,128,110.76,144000000,10000,160,0.667611,40803928,0.98397
vamana,1,32,1.2,128,110.76,144000000,10000,170,0.723571,43286448,0.98495
vamana,1,32,1.2,128,110.76,144000000,10000,180,0.796161,45771956,0.98588
vamana,1,32,1.2,128,110.76,144000000,10000,190,0.880953,48257367,0.98646
vamana,1,32,1.2,128,110.76,144000000,10000,200,0.922811,50740082,0.98722
vamana,1,32,1.2,128,110.76,144000000,10000,210,0.96598,53213072,0.98806
vamana,1,32,1.2,128,110.76,144000000,10000,220,1.03907,55688073,0.98863
vamana,1,32,1.2,128,110.76,144000000,10000,230,1.11621,58170508,0.98906
vamana,1,32,1.2,128,110.76,144000000,10000,240,1.19369,60646009,0.98963
vamana,1,32,1.2,128,110.76,144000000,10000,250,1.27262,63106710,0.9902
vamana,1,32,1.2,128,110.76,144000000,10000,260,1.3618,65582442,0.99052
vamana,1,32,1.2,128,110.76,144000000,10000,270,1.44139,68042863,0.991
vamana,1,32,1.2,128,110.76,144000000,10000,280,1.5442,70515020,0.99138
vamana,1,32,1.2,128,110.76,144000000,10000,290,1.59847,72977633,0.99169
vamana,1,32,1.2,128,110.76,144000000,10000,300,1.72941,75431011,0.99204
