index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|10, 0.0787855, 5186280, 0.86738
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|20, 0.119504, 7219672, 0.95245
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|30, 0.155119, 9084002, 0.97833
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|40, 0.188741, 10880882, 0.98804
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|50, 0.221126, 12637052, 0.99274
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|60, 0.25122, 14367854, 0.99535
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|70, 0.27959, 16057950, 0.99667
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|80, 0.310319, 17725987, 0.99763
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|90, 0.343585, 19365332, 0.99821
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|100, 0.376674, 20983060, 0.99867
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|110, 0.403662, 22570189, 0.99903
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|120, 0.426896, 24135361, 0.99914
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|130, 0.453434, 25681330, 0.99937
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|140, 0.491182, 27204009, 0.99952
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|150, 0.522603, 28709379, 0.99965
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|160, 0.529441, 30192906, 0.99969
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|170, 0.558983, 31658242, 0.99973
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|180, 0.617336, 33111832, 0.99977
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|190, 0.630074, 34547635, 0.9998
cspg, 2, 32, 1.2, 128, 162.251, 216000000, 10000, 1|200, 0.644999, 35965573, 0.99983
