index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,10,1000,5,94.9904,448749304,10000,1|10,0.0412127,4117388,0.60869
cspg,1,10,1000,5,94.9904,448749304,10000,1|20,0.0597084,5681238,0.74648
cspg,1,10,1000,5,94.9904,448749304,10000,1|30,0.0759192,7086332,0.81227
cspg,1,10,1000,5,94.9904,448749304,10000,1|40,0.0953666,8429518,0.85232
cspg,1,10,1000,5,94.9904,448749304,10000,1|50,0.115114,9733371,0.87996
cspg,1,10,1000,5,94.9904,448749304,10000,1|60,0.132077,10994477,0.89848
cspg,1,10,1000,5,94.9904,448749304,10000,1|70,0.152224,12227845,0.91309
cspg,1,10,1000,5,94.9904,448749304,10000,1|80,0.166274,13439763,0.92463
cspg,1,10,1000,5,94.9904,448749304,10000,1|90,0.189339,14625737,0.93371
cspg,1,10,1000,5,94.9904,448749304,10000,1|100,0.199436,15789187,0.94092
cspg,1,10,1000,5,94.9904,448749304,10000,1|110,0.203615,16941388,0.94745
cspg,1,10,1000,5,94.9904,448749304,10000,1|120,0.214108,18069570,0.95289
cspg,1,10,1000,5,94.9904,448749304,10000,1|130,0.227496,19180467,0.95764
cspg,1,10,1000,5,94.9904,448749304,10000,1|140,0.240778,20275676,0.96149
cspg,1,10,1000,5,94.9904,448749304,10000,1|150,0.25752,21357368,0.96464
cspg,1,10,1000,5,94.9904,448749304,10000,1|160,0.272268,22427711,0.96727
cspg,1,10,1000,5,94.9904,448749304,10000,1|170,0.282024,23488226,0.96957
cspg,1,10,1000,5,94.9904,448749304,10000,1|180,0.302202,24538126,0.97169
cspg,1,10,1000,5,94.9904,448749304,10000,1|190,0.304375,25577661,0.97332
cspg,1,10,1000,5,94.9904,448749304,10000,1|200,0.316202,26606303,0.97488
cspg,1,10,1000,5,94.9904,448749304,10000,1|210,0.327872,27622386,0.97664
cspg,1,10,1000,5,94.9904,448749304,10000,1|220,0.340891,28628899,0.97821
cspg,1,10,1000,5,94.9904,448749304,10000,1|230,0.351355,29624006,0.97932
cspg,1,10,1000,5,94.9904,448749304,10000,1|240,0.364447,30616520,0.98055
cspg,1,10,1000,5,94.9904,448749304,10000,1|250,0.376017,31591656,0.98167
cspg,1,10,1000,5,94.9904,448749304,10000,1|260,0.388623,32565396,0.98247
cspg,1,10,1000,5,94.9904,448749304,10000,1|270,0.405947,33527298,0.98338
cspg,1,10,1000,5,94.9904,448749304,10000,1|280,0.412483,34483562,0.98421
cspg,1,10,1000,5,94.9904,448749304,10000,1|290,0.422957,35434913,0.98496
cspg,1,10,1000,5,94.9904,448749304,10000,1|300,0.435722,36378574,0.98568
cspg,2,10,1000,5,241.106,671988776,10000,1|10,0.0513023,4185661,0.77233
cspg,2,10,1000,5,241.106,671988776,10000,1|20,0.0721416,5783257,0.88894
cspg,2,10,1000,5,241.106,671988776,10000,1|30,0.083182,7214909,0.93248
cspg,2,10,1000,5,241.106,671988776,10000,1|40,0.0998002,8573435,0.95504
cspg,2,10,1000,5,241.106,671988776,10000,1|50,0.115718,9899994,0.96858
