index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,32,128,29.4135,1040377160,10000,1|10,0.0516717,5464225,0.75733
cspg,1,32,128,29.4135,1040377160,10000,1|20,0.0812088,7753659,0.86752
cspg,1,32,128,29.4135,1040377160,10000,1|30,0.10525,9897482,0.91275
cspg,1,32,128,29.4135,1040377160,10000,1|40,0.132345,11944215,0.9371
cspg,1,32,128,29.4135,1040377160,10000,1|50,0.156479,13919072,0.95201
cspg,1,32,128,29.4135,1040377160,10000,1|60,0.181748,15826868,0.96175
cspg,1,32,128,29.4135,1040377160,10000,1|70,0.202936,17678749,0.96853
cspg,1,32,128,29.4135,1040377160,10000,1|80,0.219892,19487593,0.97334
cspg,1,32,128,29.4135,1040377160,10000,1|90,0.243501,21246647,0.97668
cspg,1,32,128,29.4135,1040377160,10000,1|100,0.262916,22972216,0.97939
cspg,1,32,128,29.4135,1040377160,10000,1|110,0.283645,24655790,0.98142
cspg,1,32,128,29.4135,1040377160,10000,1|120,0.302885,26306986,0.98326
cspg,1,32,128,29.4135,1040377160,10000,1|130,0.320072,27924215,0.98469
cspg,1,32,128,29.4135,1040377160,10000,1|140,0.350527,29524554,0.98571
cspg,1,32,128,29.4135,1040377160,10000,1|150,0.366135,31098315,0.98668
cspg,1,32,128,29.4135,1040377160,10000,1|160,0.383146,32642253,0.98747
cspg,1,32,128,29.4135,1040377160,10000,1|170,0.385467,34169078,0.98803
cspg,1,32,128,29.4135,1040377160,10000,1|180,0.506207,35668560,0.98855
cspg,1,32,128,29.4135,1040377160,10000,1|190,0.509822,37156908,0.98905
cspg,1,32,128,29.4135,1040377160,10000,1|200,0.493103,38623223,0.98944
cspg,1,32,128,29.4135,1040377160,10000,1|210,0.619187,40065151,0.98985
cspg,1,32,128,29.4135,1040377160,10000,1|220,0.589186,41495735,0.99016
cspg,1,32,128,29.4135,1040377160,10000,1|230,0.534378,42912740,0.99044
cspg,1,32,128,29.4135,1040377160,10000,1|240,0.523562,44314295,0.99064
cspg,1,32,128,29.4135,1040377160,10000,1|250,0.507892,45698210,0.99094
cspg,1,32,128,29.4135,1040377160,10000,1|260,0.651091,47069530,0.9911
cspg,1,32,128,29.4135,1040377160,10000,1|270,0.638526,48426622,0.99125
cspg,1,32,128,29.4135,1040377160,10000,1|280,0.640759,49771513,0.9915
cspg,1,32,128,29.4135,1040377160,10000,1|290,0.692841,51107213,0.9916
cspg,1,32,128,29.4135,1040377160,10000,1|300,0.666196,52435218,0.99182
cspg,2,32,128,79.2226,1560608512,10000,1|10,0.061578,5769446,0.85488
cspg,2,32,128,79.2226,1560608512,10000,1|20,0.0942314,8205952,0.93853
cspg,2,32,128,79.2226,1560608512,10000,1|30,0.131688,10448060,0.96499
cspg,2,32,128,79.2226,1560608512,10000,1|40,0.153019,12563624,0.97767
cspg,2,32,128,79.2226,1560608512,10000,1|50,0.172793,14619180,0.9833
cspg,2,32,128,79.2226,1560608512,10000,1|60,0.203541,16624276,0.98612
cspg,2,32,128,79.2226,1560608512,10000,1|70,0.227804,18571820,0.98778
cspg,2,32,128,79.2226,1560608512,10000,1|80,0.246577,20480213,0.98894
cspg,2,32,128,79.2226,1560608512,10000,1|90,0.279601,22357586,0.98969
cspg,2,32,128,79.2226,1560608512,10000,1|100,0.296804,24177775,0.99029
cspg,2,32,128,79.2226,1560608512,10000,1|110,0.320709,25995508,0.99076
cspg,2,32,128,79.2226,1560608512,10000,1|120,0.331152,27774331,0.9911
cspg,2,32,128,79.2226,1560608512,10000,1|130,0.35969,29517134,0.99133
cspg,2,32,128,79.2226,1560608512,10000,1|140,0.372625,31229415,0.99155
cspg,2,32,128,79.2226,1560608512,10000,1|150,0.405985,32924412,0.99173
cspg,2,32,128,79.2226,1560608512,10000,1|160,0.420326,34599234,0.99184
cspg,2,32,128,79.2226,1560608512,10000,1|170,0.431771,36245623,0.99196
cspg,2,32,128,79.2226,1560608512,10000,1|180,0.453416,37879162,0.99198
cspg,2,32,128,79.2226,1560608512,10000,1|190,0.449352,39491051,0.99209
cspg,2,32,128,79.2226,1560608512,10000,1|200,0.472691,41081078,0.99216
cspg,2,32,128,79.2226,1560608512,10000,1|210,0.479058,42652990,0.99219
cspg,2,32,128,79.2226,1560608512,10000,1|220,0.523818,44211158,0.9922
cspg,2,32,128,79.2226,1560608512,10000,1|230,0.537984,45754440,0.99231
cspg,2,32,128,79.2226,1560608512,10000,1|240,0.555666,47276359,0.99233
cspg,2,32,128,79.2226,1560608512,10000,1|250,0.670191,48791677,0.99233
cspg,2,32,128,79.2226,1560608512,10000,1|260,0.630806,50287282,0.99234
cspg,2,32,128,79.2226,1560608512,10000,1|270,0.591192,51770015,0.99236
cspg,2,32,128,79.2226,1560608512,10000,1|280,0.613922,53240644,0.99235
cspg,2,32,128,79.2226,1560608512,10000,1|290,0.631927,54699571,0.99235
cspg,2,32,128,79.2226,1560608512,10000,1|300,0.6496,56140853,0.99235
cspg,4,32,128,154.219,2601029736,10000,1|10,0.074019,6187143,0.8668
cspg,4,32,128,154.219,2601029736,10000,1|20,0.105263,8940861,0.93767
cspg,4,32,128,154.219,2601029736,10000,1|30,0.136093,11340418,0.96014
cspg,4,32,128,154.219,2601029736,10000,1|40,0.164904,13630564,0.97042
cspg,4,32,128,154.219,2601029736,10000,1|50,0.193176,15839241,0.97578
cspg,4,32,128,154.219,2601029736,10000,1|60,0.284552,17956383,0.97822
cspg,4,32,128,154.219,2601029736,10000,1|70,0.325723,20030428,0.97989
cspg,4,32,128,154.219,2601029736,10000,1|80,0.315209,22084819,0.98041
cspg,4,32,128,154.219,2601029736,10000,1|90,0.298886,24070355,0.9809
cspg,4,32,128,154.219,2601029736,10000,1|100,0.340969,26055196,0.98143
cspg,4,32,128,154.219,2601029736,10000,1|110,0.346387,28005951,0.98183
cspg,4,32,128,154.219,2601029736,10000,1|120,0.426351,29931279,0.98217
cspg,4,32,128,154.219,2601029736,10000,1|130,0.445472,31822740,0.98245
cspg,4,32,128,154.219,2601029736,10000,1|140,0.447039,33694026,0.98273
cspg,4,32,128,154.219,2601029736,10000,1|150,0.468835,35543756,0.98288
cspg,4,32,128,154.219,2601029736,10000,1|160,0.472575,37361986,0.98292
cspg,4,32,128,154.219,2601029736,10000,1|170,0.484901,39162294,0.98299
cspg,4,32,128,154.219,2601029736,10000,1|180,0.515872,40958080,0.98301
cspg,4,32,128,154.219,2601029736,10000,1|190,0.537116,42738147,0.98306
cspg,4,32,128,154.219,2601029736,10000,1|200,0.561772,44497468,0.9831
cspg,4,32,128,154.219,2601029736,10000,1|210,0.596919,46230981,0.98312
cspg,4,32,128,154.219,2601029736,10000,1|220,0.613296,47951771,0.98314
cspg,4,32,128,154.219,2601029736,10000,1|230,0.612914,49677242,0.98319
cspg,4,32,128,154.219,2601029736,10000,1|240,0.757687,51357935,0.98321
cspg,4,32,128,154.219,2601029736,10000,1|250,0.753074,53027678,0.98317
cspg,4,32,128,154.219,2601029736,10000,1|260,0.696007,54693666,0.98318
cspg,4,32,128,154.219,2601029736,10000,1|270,0.697368,56333248,0.98318
cspg,4,32,128,154.219,2601029736,10000,1|280,0.888576,57986400,0.9832
cspg,4,32,128,154.219,2601029736,10000,1|290,0.818485,59622773,0.9832
cspg,4,32,128,154.219,2601029736,10000,1|300,0.792633,61239002,0.98321
cspg,8,32,128,294.763,4681763384,10000,1|10,0.105115,7337348,0.86455
cspg,8,32,128,294.763,4681763384,10000,1|20,0.144273,10429908,0.92225
cspg,8,32,128,294.763,4681763384,10000,1|30,0.177768,13043787,0.94663
cspg,8,32,128,294.763,4681763384,10000,1|40,0.220099,15404936,0.95807
cspg,8,32,128,294.763,4681763384,10000,1|50,0.233399,17705502,0.96314
cspg,8,32,128,294.763,4681763384,10000,1|60,0.264518,20114546,0.96754
cspg,8,32,128,294.763,4681763384,10000,1|70,0.308876,22498940,0.9702
cspg,8,32,128,294.763,4681763384,10000,1|80,0.35058,24799454,0.97077
cspg,8,32,128,294.763,4681763384,10000,1|90,0.375659,26967038,0.97248
cspg,8,32,128,294.763,4681763384,10000,1|100,0.406452,29079218,0.97324
cspg,8,32,128,294.763,4681763384,10000,1|110,0.438553,31182513,0.97434
cspg,8,32,128,294.763,4681763384,10000,1|120,0.449713,33320481,0.97486
cspg,8,32,128,294.763,4681763384,10000,1|130,0.486234,35358343,0.97488
cspg,8,32,128,294.763,4681763384,10000,1|140,0.511451,37402871,0.97534
cspg,8,32,128,294.763,4681763384,10000,1|150,0.535525,39434498,0.97539
cspg,8,32,128,294.763,4681763384,10000,1|160,0.579831,41459415,0.97569
cspg,8,32,128,294.763,4681763384,10000,1|170,0.602532,43450049,0.97574
cspg,8,32,128,294.763,4681763384,10000,1|180,0.631435,45400730,0.97571
cspg,8,32,128,294.763,4681763384,10000,1|190,0.659533,47386290,0.97585
cspg,8,32,128,294.763,4681763384,10000,1|200,0.702292,49346317,0.97599
cspg,8,32,128,294.763,4681763384,10000,1|210,0.745127,51298956,0.97592
