index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,32,1.2,128,98.3178,904000000,10000,1|10,0.0537243,5687472,0.76123
cspg,1,32,1.2,128,98.3178,904000000,10000,1|20,0.077466,7660854,0.86821
cspg,1,32,1.2,128,98.3178,904000000,10000,1|30,0.100861,9468054,0.91173
cspg,1,32,1.2,128,98.3178,904000000,10000,1|40,0.122433,11200216,0.9361
cspg,1,32,1.2,128,98.3178,904000000,10000,1|50,0.143726,12866996,0.95081
cspg,1,32,1.2,128,98.3178,904000000,10000,1|60,0.162932,14480497,0.96055
cspg,1,32,1.2,128,98.3178,904000000,10000,1|70,0.180214,16048268,0.96748
cspg,1,32,1.2,128,98.3178,904000000,10000,1|80,0.206792,17585394,0.97271
cspg,1,32,1.2,128,98.3178,904000000,10000,1|90,0.225893,19081937,0.97688
cspg,1,32,1.2,128,98.3178,904000000,10000,1|100,0.243917,20551078,0.98024
cspg,1,32,1.2,128,98.3178,904000000,10000,1|110,0.261494,21985142,0.98268
cspg,1,32,1.2,128,98.3178,904000000,10000,1|120,0.282556,23399726,0.98466
cspg,1,32,1.2,128,98.3178,904000000,10000,1|130,0.302909,24789273,0.98629
cspg,1,32,1.2,128,98.3178,904000000,10000,1|140,0.316823,26158008,0.98759
cspg,1,32,1.2,128,98.3178,904000000,10000,1|150,0.333068,27506375,0.98867
cspg,1,32,1.2,128,98.3178,904000000,10000,1|160,0.349553,28833026,0.98986
cspg,1,32,1.2,128,98.3178,904000000,10000,1|170,0.366256,30146809,0.99064
cspg,1,32,1.2,128,98.3178,904000000,10000,1|180,0.379249,31442192,0.99137
cspg,1,32,1.2,128,98.3178,904000000,10000,1|190,0.387711,32724139,0.99218
cspg,1,32,1.2,128,98.3178,904000000,10000,1|200,0.408209,33991441,0.99278
cspg,1,32,1.2,128,98.3178,904000000,10000,1|210,0.430574,35245084,0.9933
cspg,1,32,1.2,128,98.3178,904000000,10000,1|220,0.450392,36481251,0.99368
cspg,1,32,1.2,128,98.3178,904000000,10000,1|230,0.475707,37710972,0.99404
cspg,1,32,1.2,128,98.3178,904000000,10000,1|240,0.544796,38927455,0.99437
cspg,1,32,1.2,128,98.3178,904000000,10000,1|250,0.546771,40130959,0.99467
cspg,1,32,1.2,128,98.3178,904000000,10000,1|260,0.566335,41326390,0.99496
cspg,1,32,1.2,128,98.3178,904000000,10000,1|270,0.545543,42508349,0.99506
cspg,1,32,1.2,128,98.3178,904000000,10000,1|280,0.557587,43684835,0.99538
cspg,1,32,1.2,128,98.3178,904000000,10000,1|290,0.537512,44850994,0.99558
cspg,1,32,1.2,128,98.3178,904000000,10000,1|300,0.548981,46010675,0.99575
cspg,2,32,1.2,128,242.787,1356000000,10000,1|10,0.0637564,5814581,0.8805
cspg,2,32,1.2,128,242.787,1356000000,10000,1|20,0.0949818,7899876,0.95306
cspg,2,32,1.2,128,242.787,1356000000,10000,1|30,0.128372,9802533,0.97626
cspg,2,32,1.2,128,242.787,1356000000,10000,1|40,0.1559,11619299,0.98626
cspg,2,32,1.2,128,242.787,1356000000,10000,1|50,0.177294,13368744,0.99114
cspg,2,32,1.2,128,242.787,1356000000,10000,1|60,0.209313,15080465,0.99442
cspg,2,32,1.2,128,242.787,1356000000,10000,1|70,0.233499,16743734,0.99593
cspg,2,32,1.2,128,242.787,1356000000,10000,1|80,0.263064,18377631,0.99711
cspg,2,32,1.2,128,242.787,1356000000,10000,1|90,0.28548,19967634,0.99769
cspg,2,32,1.2,128,242.787,1356000000,10000,1|100,0.324018,21536522,0.9982
cspg,2,32,1.2,128,242.787,1356000000,10000,1|110,0.336379,23078914,0.99867
cspg,2,32,1.2,128,242.787,1356000000,10000,1|120,0.345995,24597406,0.99899
cspg,2,32,1.2,128,242.787,1356000000,10000,1|130,0.364675,26085600,0.99917
