index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,32,128,253.515,7952377160,1000,1|10,0.0728734,628621,0.4548
cspg,1,32,128,253.515,7952377160,1000,1|20,0.106745,923316,0.5943
cspg,1,32,128,253.515,7952377160,1000,1|30,0.136424,1181704,0.6681
cspg,1,32,128,253.515,7952377160,1000,1|40,0.169838,1430844,0.7228
cspg,1,32,128,253.515,7952377160,1000,1|50,0.20483,1671980,0.7613
cspg,1,32,128,253.515,7952377160,1000,1|60,0.286479,1904928,0.7901
cspg,1,32,128,253.515,7952377160,1000,1|70,0.312507,2134260,0.8135
cspg,1,32,128,253.515,7952377160,1000,1|80,0.322878,2360551,0.8309
cspg,1,32,128,253.515,7952377160,1000,1|90,0.349353,2589996,0.8472
cspg,1,32,128,253.515,7952377160,1000,1|100,0.350807,2809254,0.8587
cspg,1,32,128,253.515,7952377160,1000,1|110,0.447464,3027312,0.8707
cspg,1,32,128,253.515,7952377160,1000,1|120,0.448613,3241613,0.8823
cspg,1,32,128,253.515,7952377160,1000,1|130,0.425282,3453824,0.8907
cspg,1,32,128,253.515,7952377160,1000,1|140,0.438728,3661373,0.8962
cspg,1,32,128,253.515,7952377160,1000,1|150,0.476062,3870254,0.9021
cspg,1,32,128,253.515,7952377160,1000,1|160,0.495372,4072542,0.9067
cspg,1,32,128,253.515,7952377160,1000,1|170,0.497417,4278975,0.9124
cspg,1,32,128,253.515,7952377160,1000,1|180,0.531301,4476530,0.9184
cspg,1,32,128,253.515,7952377160,1000,1|190,0.5508,4674192,0.9219
cspg,1,32,128,253.515,7952377160,1000,1|200,0.574338,4866422,0.9253
cspg,1,32,128,253.515,7952377160,1000,1|210,0.578622,5063593,0.9292
cspg,1,32,128,253.515,7952377160,1000,1|220,0.605625,5252612,0.9327
cspg,1,32,128,253.515,7952377160,1000,1|230,0.654404,5445909,0.9356
cspg,1,32,128,253.515,7952377160,1000,1|240,0.67907,5633032,0.9387
cspg,1,32,128,253.515,7952377160,1000,1|250,0.731389,5818907,0.942
cspg,1,32,128,253.515,7952377160,1000,1|260,0.739118,6001778,0.9443
cspg,1,32,128,253.515,7952377160,1000,1|270,0.776913,6183973,0.9456
cspg,1,32,128,253.515,7952377160,1000,1|280,0.835177,6368392,0.9477
cspg,1,32,128,253.515,7952377160,1000,1|290,0.857686,6550358,0.9499
cspg,1,32,128,253.515,7952377160,1000,1|300,0.884495,6728685,0.9523
cspg,2,32,128,669.072,11928606880,1000,1|10,0.0869104,651187,0.5487
cspg,2,32,128,669.072,11928606880,1000,1|20,0.117295,966584,0.7119
cspg,2,32,128,669.072,11928606880,1000,1|30,0.164956,1243141,0.7891
cspg,2,32,128,669.072,11928606880,1000,1|40,0.202789,1505899,0.8377
cspg,2,32,128,669.072,11928606880,1000,1|50,0.221523,1754452,0.8712
cspg,2,32,128,669.072,11928606880,1000,1|60,0.278531,1997262,0.8953
cspg,2,32,128,669.072,11928606880,1000,1|70,0.299446,2227588,0.9161
cspg,2,32,128,669.072,11928606880,1000,1|80,0.331664,2464376,0.9315
cspg,2,32,128,669.072,11928606880,1000,1|90,0.361836,2691112,0.9406
cspg,2,32,128,669.072,11928606880,1000,1|100,0.407112,2918994,0.9479
cspg,2,32,128,669.072,11928606880,1000,1|110,0.409865,3142780,0.9527
cspg,2,32,128,669.072,11928606880,1000,1|120,0.463765,3363278,0.9595
cspg,2,32,128,669.072,11928606880,1000,1|130,0.461082,3580875,0.9656
cspg,2,32,128,669.072,11928606880,1000,1|140,0.495779,3798913,0.9687
cspg,2,32,128,669.072,11928606880,1000,1|150,0.507119,4009805,0.9724
cspg,2,32,128,669.072,11928606880,1000,1|160,0.537531,4225455,0.9751
cspg,2,32,128,669.072,11928606880,1000,1|170,0.557814,4439724,0.9777
cspg,2,32,128,669.072,11928606880,1000,1|180,0.595299,4646532,0.9804
cspg,2,32,128,669.072,11928606880,1000,1|190,0.595926,4856944,0.9825
cspg,2,32,128,669.072,11928606880,1000,1|200,0.643579,5061830,0.9844
cspg,2,32,128,669.072,11928606880,1000,1|210,0.626413,5261848,0.9853
cspg,2,32,128,669.072,11928606880,1000,1|220,0.687602,5460653,0.9861
cspg,2,32,128,669.072,11928606880,1000,1|230,0.690463,5662048,0.9874
cspg,2,32,128,669.072,11928606880,1000,1|240,0.699065,5860293,0.9883
cspg,2,32,128,669.072,11928606880,1000,1|250,0.806357,6054815,0.989
cspg,2,32,128,669.072,11928606880,1000,1|260,0.794584,6252833,0.9895
cspg,2,32,128,669.072,11928606880,1000,1|270,0.842457,6447516,0.9898
cspg,2,32,128,669.072,11928606880,1000,1|280,0.866312,6639147,0.9906
cspg,2,32,128,669.072,11928606880,1000,1|290,0.933543,6832819,0.9909
cspg,2,32,128,669.072,11928606880,1000,1|300,0.924888,7018775,0.9915
cspg,4,32,128,1268.06,19881031096,1000,1|10,0.107983,696454,0.5894
cspg,4,32,128,1268.06,19881031096,1000,1|20,0.139503,1056234,0.7582
cspg,4,32,128,1268.06,19881031096,1000,1|30,0.178069,1351815,0.829
cspg,4,32,128,1268.06,19881031096,1000,1|40,0.230604,1641511,0.873
cspg,4,32,128,1268.06,19881031096,1000,1|50,0.258738,1912367,0.9008
cspg,4,32,128,1268.06,19881031096,1000,1|60,0.286946,2173179,0.9191
cspg,4,32,128,1268.06,19881031096,1000,1|70,0.30896,2423979,0.9339
cspg,4,32,128,1268.06,19881031096,1000,1|80,0.324905,2665904,0.9472
cspg,4,32,128,1268.06,19881031096,1000,1|90,0.346677,2902189,0.958
cspg,4,32,128,1268.06,19881031096,1000,1|100,0.392055,3129349,0.9646
cspg,4,32,128,1268.06,19881031096,1000,1|110,0.41906,3364702,0.973
cspg,4,32,128,1268.06,19881031096,1000,1|120,0.43714,3595580,0.9754
cspg,4,32,128,1268.06,19881031096,1000,1|130,0.457344,3816923,0.9774
cspg,4,32,128,1268.06,19881031096,1000,1|140,0.488887,4038570,0.9815
cspg,4,32,128,1268.06,19881031096,1000,1|150,0.500111,4254021,0.9831
cspg,4,32,128,1268.06,19881031096,1000,1|160,0.540814,4474304,0.9845
cspg,4,32,128,1268.06,19881031096,1000,1|170,0.575983,4695184,0.9855
cspg,4,32,128,1268.06,19881031096,1000,1|180,0.693502,4917656,0.9864
cspg,4,32,128,1268.06,19881031096,1000,1|190,0.617822,5130440,0.9869
cspg,4,32,128,1268.06,19881031096,1000,1|200,0.637998,5343578,0.9872
cspg,4,32,128,1268.06,19881031096,1000,1|210,0.6487,5545793,0.9882
cspg,4,32,128,1268.06,19881031096,1000,1|220,0.668496,5752854,0.9891
cspg,4,32,128,1268.06,19881031096,1000,1|230,0.714529,5968087,0.9907
cspg,4,32,128,1268.06,19881031096,1000,1|240,0.728544,6178985,0.9912
cspg,4,32,128,1268.06,19881031096,1000,1|250,0.758482,6387898,0.9926
cspg,4,32,128,1268.06,19881031096,1000,1|260,0.7735,6593220,0.9933
cspg,4,32,128,1268.06,19881031096,1000,1|270,0.807598,6803046,0.9938
cspg,4,32,128,1268.06,19881031096,1000,1|280,0.819563,7007946,0.9941
cspg,4,32,128,1268.06,19881031096,1000,1|290,0.852343,7211249,0.9948
cspg,4,32,128,1268.06,19881031096,1000,1|300,0.883954,7408638,0.9952
cspg,8,32,128,2344.94,35785768824,1000,1|10,0.134579,777230,0.605
cspg,8,32,128,2344.94,35785768824,1000,1|20,0.161344,1178395,0.7394
cspg,8,32,128,2344.94,35785768824,1000,1|30,0.201628,1505740,0.8123
cspg,8,32,128,2344.94,35785768824,1000,1|40,0.247971,1798761,0.8659
cspg,8,32,128,2344.94,35785768824,1000,1|50,0.281644,2080632,0.8951
cspg,8,32,128,2344.94,35785768824,1000,1|60,0.321704,2390589,0.9184
cspg,8,32,128,2344.94,35785768824,1000,1|70,0.370773,2682201,0.9279
cspg,8,32,128,2344.94,35785768824,1000,1|80,0.416622,2938432,0.9375
cspg,8,32,128,2344.94,35785768824,1000,1|90,0.435892,3205811,0.9488
cspg,8,32,128,2344.94,35785768824,1000,1|100,0.452638,3464449,0.9575
cspg,8,32,128,2344.94,35785768824,1000,1|110,0.490306,3700733,0.9621
cspg,8,32,128,2344.94,35785768824,1000,1|120,0.514727,3942721,0.9689
cspg,8,32,128,2344.94,35785768824,1000,1|130,0.533927,4191433,0.9707
cspg,8,32,128,2344.94,35785768824,1000,1|140,0.565873,4428512,0.9758
cspg,8,32,128,2344.94,35785768824,1000,1|150,0.595212,4660114,0.9768
