index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,32,1.2,128,406.601,7816000000,1000,1|10,0.0503035,570591,0.4196
cspg,1,32,1.2,128,406.601,7816000000,1000,1|20,0.0752939,826137,0.5569
cspg,1,32,1.2,128,406.601,7816000000,1000,1|30,0.100745,1034801,0.6334
cspg,1,32,1.2,128,406.601,7816000000,1000,1|40,0.1292,1230345,0.6847
cspg,1,32,1.2,128,406.601,7816000000,1000,1|50,0.153358,1412537,0.7207
cspg,1,32,1.2,128,406.601,7816000000,1000,1|60,0.188175,1591363,0.7489
cspg,1,32,1.2,128,406.601,7816000000,1000,1|70,0.220825,1768129,0.7693
cspg,1,32,1.2,128,406.601,7816000000,1000,1|80,0.26345,1933267,0.7858
cspg,1,32,1.2,128,406.601,7816000000,1000,1|90,0.257995,2102461,0.8001
cspg,1,32,1.2,128,406.601,7816000000,1000,1|100,0.286369,2268372,0.8149
cspg,1,32,1.2,128,406.601,7816000000,1000,1|110,0.29883,2428654,0.8284
cspg,1,32,1.2,128,406.601,7816000000,1000,1|120,0.324227,2586309,0.8403
cspg,1,32,1.2,128,406.601,7816000000,1000,1|130,0.329161,2741542,0.85
cspg,1,32,1.2,128,406.601,7816000000,1000,1|140,0.340923,2893118,0.8578
cspg,1,32,1.2,128,406.601,7816000000,1000,1|150,0.369381,3043728,0.8636
cspg,1,32,1.2,128,406.601,7816000000,1000,1|160,0.40629,3195927,0.8706
cspg,1,32,1.2,128,406.601,7816000000,1000,1|170,0.397178,3342644,0.8754
cspg,1,32,1.2,128,406.601,7816000000,1000,1|180,0.399442,3485927,0.8801
cspg,1,32,1.2,128,406.601,7816000000,1000,1|190,0.41873,3630568,0.8843
cspg,1,32,1.2,128,406.601,7816000000,1000,1|200,0.426171,3774463,0.8885
cspg,1,32,1.2,128,406.601,7816000000,1000,1|210,0.454482,3915404,0.8925
cspg,1,32,1.2,128,406.601,7816000000,1000,1|220,0.476811,4054060,0.8955
cspg,1,32,1.2,128,406.601,7816000000,1000,1|230,0.508453,4195007,0.8999
cspg,1,32,1.2,128,406.601,7816000000,1000,1|240,0.513914,4331786,0.904
cspg,1,32,1.2,128,406.601,7816000000,1000,1|250,0.541864,4471416,0.9069
cspg,1,32,1.2,128,406.601,7816000000,1000,1|260,0.538604,4605788,0.9098
cspg,1,32,1.2,128,406.601,7816000000,1000,1|270,0.54675,4736651,0.9118
cspg,1,32,1.2,128,406.601,7816000000,1000,1|280,0.547779,4870606,0.9149
cspg,1,32,1.2,128,406.601,7816000000,1000,1|290,0.573029,5002483,0.9178
cspg,1,32,1.2,128,406.601,7816000000,1000,1|300,0.589104,5133258,0.9198
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|10,0.0753915,602268,0.5355
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|20,0.107642,872421,0.6893
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|30,0.141378,1103979,0.7765
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|40,0.160273,1316319,0.8324
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|50,0.204407,1514268,0.865
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|60,0.220246,1701189,0.8887
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|70,0.230316,1879846,0.9056
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|80,0.266297,2060784,0.9198
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|90,0.27908,2234140,0.9292
cspg,2,32,1.2,128,1028.7,11724000000,1000,1|100,0.29727,2409234,0.9383
