index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,1,10,1000,5,97.8899,567221856,10000,1|10,0.0518987,3763890,0.58966
cspg,1,10,1000,5,97.8899,567221856,10000,1|20,0.0773432,5133201,0.73784
cspg,1,10,1000,5,97.8899,567221856,10000,1|30,0.0980093,6356776,0.80963
cspg,1,10,1000,5,97.8899,567221856,10000,1|40,0.120555,7533826,0.85414
cspg,1,10,1000,5,97.8899,567221856,10000,1|50,0.140268,8681929,0.88337
cspg,1,10,1000,5,97.8899,567221856,10000,1|60,0.157523,9805606,0.90432
cspg,1,10,1000,5,97.8899,567221856,10000,1|70,0.175581,10915238,0.92022
cspg,1,10,1000,5,97.8899,567221856,10000,1|80,0.192692,12010125,0.93257
cspg,1,10,1000,5,97.8899,567221856,10000,1|90,0.205249,13093893,0.94191
cspg,1,10,1000,5,97.8899,567221856,10000,1|100,0.229638,14165922,0.94962
cspg,1,10,1000,5,97.8899,567221856,10000,1|110,0.247622,15222084,0.95589
cspg,1,10,1000,5,97.8899,567221856,10000,1|120,0.269908,16273438,0.96128
cspg,1,10,1000,5,97.8899,567221856,10000,1|130,0.285162,17307224,0.96541
cspg,1,10,1000,5,97.8899,567221856,10000,1|140,0.306554,18330292,0.96928
cspg,1,10,1000,5,97.8899,567221856,10000,1|150,0.327879,19345995,0.9722
cspg,1,10,1000,5,97.8899,567221856,10000,1|160,0.337142,20351694,0.97494
cspg,1,10,1000,5,97.8899,567221856,10000,1|170,0.357691,21349673,0.97737
cspg,1,10,1000,5,97.8899,567221856,10000,1|180,0.370382,22339117,0.97946
cspg,1,10,1000,5,97.8899,567221856,10000,1|190,0.377301,23315357,0.98124
cspg,1,10,1000,5,97.8899,567221856,10000,1|200,0.399991,24289791,0.98294
cspg,1,10,1000,5,97.8899,567221856,10000,1|210,0.41462,25247868,0.98424
cspg,1,10,1000,5,97.8899,567221856,10000,1|220,0.441741,26199767,0.98546
cspg,1,10,1000,5,97.8899,567221856,10000,1|230,0.45539,27151639,0.9865
cspg,1,10,1000,5,97.8899,567221856,10000,1|240,0.465135,28093914,0.98743
cspg,1,10,1000,5,97.8899,567221856,10000,1|250,0.475384,29028925,0.98832
cspg,1,10,1000,5,97.8899,567221856,10000,1|260,0.501537,29959674,0.98926
cspg,1,10,1000,5,97.8899,567221856,10000,1|270,0.524653,30886691,0.99016
cspg,1,10,1000,5,97.8899,567221856,10000,1|280,0.527347,31807581,0.99075
cspg,1,10,1000,5,97.8899,567221856,10000,1|290,0.544009,32719989,0.99129
cspg,1,10,1000,5,97.8899,567221856,10000,1|300,0.551196,33625368,0.99191
cspg,2,10,1000,5,257.45,849983760,10000,1|10,0.0618007,3914337,0.72154
cspg,2,10,1000,5,257.45,849983760,10000,1|20,0.0875253,5326717,0.86367
cspg,2,10,1000,5,257.45,849983760,10000,1|30,0.11128,6559112,0.92112
cspg,2,10,1000,5,257.45,849983760,10000,1|40,0.133113,7730299,0.95
cspg,2,10,1000,5,257.45,849983760,10000,1|50,0.154332,8874873,0.96527
cspg,2,10,1000,5,257.45,849983760,10000,1|60,0.175548,10001861,0.97579
cspg,2,10,1000,5,257.45,849983760,10000,1|70,0.198077,11103730,0.98212
cspg,2,10,1000,5,257.45,849983760,10000,1|80,0.204631,12204208,0.98615
cspg,2,10,1000,5,257.45,849983760,10000,1|90,0.226209,13290120,0.98905
cspg,2,10,1000,5,257.45,849983760,10000,1|100,0.238222,14369849,0.99141
cspg,2,10,1000,5,257.45,849983760,10000,1|110,0.254261,15439879,0.99348
cspg,2,10,1000,5,257.45,849983760,10000,1|120,0.267895,16497471,0.99461
cspg,2,10,1000,5,257.45,849983760,10000,1|130,0.282072,17537604,0.99559
cspg,2,10,1000,5,257.45,849983760,10000,1|140,0.29738,18577437,0.99637
cspg,2,10,1000,5,257.45,849983760,10000,1|150,0.320928,19607120,0.99698
cspg,2,10,1000,5,257.45,849983760,10000,1|160,0.332863,20625732,0.99733
cspg,2,10,1000,5,257.45,849983760,10000,1|170,0.422997,21636883,0.99771
cspg,2,10,1000,5,257.45,849983760,10000,1|180,0.625696,22649149,0.99804
cspg,2,10,1000,5,257.45,849983760,10000,1|190,0.793226,23644475,0.9983
cspg,2,10,1000,5,257.45,849983760,10000,1|200,0.830121,24628387,0.99854
cspg,2,10,1000,5,257.45,849983760,10000,1|210,0.857285,25611587,0.99874
cspg,2,10,1000,5,257.45,849983760,10000,1|220,0.891019,26587664,0.99882
cspg,2,10,1000,5,257.45,849983760,10000,1|230,0.926128,27557087,0.99891
