index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,10,1000,5,218.447,491763064,10000,1|10,0.0459294,4060437,0.56474,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|20,0.0656484,5703671,0.72732,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|30,0.0858055,7124343,0.80392,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|40,0.104486,8484579,0.85163,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|50,0.12067,9800021,0.88235,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|60,0.138568,11072952,0.90315,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|70,0.157378,12317912,0.91776,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|80,0.172441,13546354,0.93001,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|90,0.188414,14751835,0.93896,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|100,0.202743,15944194,0.94669,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|110,0.222119,17113050,0.95291,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|120,0.247626,18267309,0.95772,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|130,0.24989,19403171,0.96173,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|140,0.273592,20531879,0.96541,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|150,0.285229,21641859,0.96866,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|160,0.305302,22742221,0.97163,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|170,0.321682,23826984,0.9739,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|180,0.331698,24901954,0.97622,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|190,0.348557,25963849,0.97799,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|200,0.353818,27014557,0.97949,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|210,0.36116,28063282,0.98069,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|220,0.377659,29093835,0.98195,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|230,0.38812,30121550,0.98312,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|240,0.403485,31134566,0.98424,0.1
cspg,2,10,1000,5,218.447,491763064,10000,1|250,0.416093,32144405,0.98526,0.1
