index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,128,58.6997,1144425280,10000,1|10,0.0611904,5528511,0.69461,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|20,0.0912815,8006744,0.83879,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|30,0.12399,10240954,0.90015,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|40,0.146974,12358341,0.93048,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|50,0.17622,14408982,0.94827,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|60,0.202955,16406046,0.95915,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|70,0.224664,18374263,0.96623,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|80,0.246249,20292452,0.97149,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|90,0.269491,22165262,0.97559,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|100,0.306084,24000634,0.97835,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|110,0.537748,25791755,0.98055,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|120,0.666427,27550002,0.98229,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|130,0.706431,29292781,0.98382,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|140,0.747336,30997488,0.9848,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|150,0.789599,32683570,0.98567,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|160,0.83371,34345375,0.98648,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|170,0.869056,35985330,0.9871,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|180,0.778935,37602120,0.98759,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|190,0.43647,39196802,0.98801,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|200,0.45304,40771858,0.98848,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|210,0.47065,42327289,0.98887,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|220,0.491192,43870453,0.98914,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|230,0.50976,45395605,0.98942,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|240,0.533488,46895285,0.98961,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|250,0.544149,48388869,0.98986,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|260,0.556262,49865861,0.98994,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|270,0.585114,51338424,0.99009,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|280,0.624866,52791257,0.99025,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|290,0.64009,54232959,0.99043,0.1
cspg,2,32,128,58.6997,1144425280,10000,1|300,0.635423,55657289,0.99061,0.1
cspg,2,32,128,96.6805,1248477208,10000,1|10,0.0640272,5610094,0.7786,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|20,0.096622,8014927,0.89106,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|30,0.126404,10235882,0.93314,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|40,0.155967,12364554,0.9538,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|50,0.184247,14433783,0.96537,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|60,0.215881,16438659,0.97232,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|70,0.237998,18404969,0.97711,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|80,0.263111,20322525,0.98062,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|90,0.280417,22194254,0.98282,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|100,0.30888,24030429,0.98477,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|110,0.33375,25825805,0.98604,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|120,0.366842,27600358,0.98706,0.2
cspg,2,32,128,96.6805,1248477208,10000,1|130,0.374389,29331456,0.98782,0.2
