index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,1.2,128,192.046,994400000,10000,1|10,0.0487742,5706496,0.70859,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|20,0.0728822,7851106,0.85393,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|30,0.0979152,9766911,0.91182,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|40,0.11527,11575971,0.9394,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|50,0.137423,13339977,0.95575,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|60,0.154099,15043871,0.96548,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|70,0.178094,16721850,0.9725,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|80,0.196295,18364481,0.97732,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|90,0.208616,19970396,0.98089,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|100,0.228242,21542339,0.98359,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|110,0.246308,23086530,0.98578,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|120,0.261779,24606127,0.98748,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|130,0.276417,26104047,0.98917,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|140,0.287744,27578552,0.99036,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|150,0.310002,29032401,0.99146,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|160,0.327312,30460010,0.99245,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|170,0.340981,31873071,0.99311,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|180,0.369729,33266833,0.99374,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|190,0.380132,34646604,0.99422,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|200,0.394683,36011130,0.9947,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|210,0.428545,37360848,0.99509,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|220,0.426626,38697583,0.9954,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|230,0.432911,40016150,0.9957,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|240,0.448614,41326098,0.99598,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|250,0.461821,42626361,0.99639,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|260,0.492677,43916624,0.99668,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|270,0.498632,45189329,0.9968,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|280,0.520852,46453790,0.99699,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|290,0.538573,47710505,0.99722,0.1
cspg,2,32,1.2,128,192.046,994400000,10000,1|300,0.546733,48954742,0.99733,0.1
cspg,2,32,1.2,128,302.881,1084800000,10000,1|10,0.0602461,5869418,0.80109,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|20,0.0890119,7925935,0.9036,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|30,0.115821,9833217,0.9431,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|40,0.140723,11663002,0.9623,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|50,0.16593,13419948,0.97281,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|60,0.190407,15145103,0.97953,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|70,0.208989,16817586,0.98414,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|80,0.227106,18456926,0.98693,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|90,0.254355,20054076,0.98914,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|100,0.268717,21625877,0.99096,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|110,0.275694,23165072,0.99245,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|120,0.286295,24680966,0.99345,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|130,0.310539,26172097,0.99459,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|140,0.323782,27640549,0.99528,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|150,0.34184,29085090,0.99601,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|160,0.358543,30513900,0.99655,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|170,0.378345,31924105,0.9971,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|180,0.414297,33314713,0.99737,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|190,0.451973,34691065,0.99757,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|200,0.46354,36050245,0.99781,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|210,0.473591,37397101,0.99799,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|220,0.505307,38728214,0.99812,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|230,0.51055,40045399,0.9983,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|240,0.522365,41351233,0.99847,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|250,0.51495,42648871,0.99854,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|260,0.533525,43927394,0.99865,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|270,0.551816,45200569,0.99877,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|280,0.568664,46466709,0.99882,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|290,0.582467,47717076,0.99885,0.2
cspg,2,32,1.2,128,302.881,1084800000,10000,1|300,0.605901,48963186,0.99893,0.2
cspg,2,32,1.2,128,423.294,1175200000,10000,1|10,0.0554249,5782922,0.83962,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|20,0.0803498,7847278,0.92916,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|30,0.103309,9760056,0.95996,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|40,0.124484,11591639,0.97529,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|50,0.147064,13348049,0.98304,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|60,0.166993,15063331,0.98807,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|70,0.18773,16735351,0.99082,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|80,0.206627,18367991,0.99277,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|90,0.225584,19975514,0.99426,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|100,0.24637,21548385,0.99531,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|110,0.266044,23083216,0.99598,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|120,0.286791,24597949,0.99653,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|130,0.300413,26087262,0.99709,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|140,0.315297,27558553,0.99758,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|150,0.333874,29008379,0.99795,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|160,0.351542,30436273,0.99825,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|170,0.420573,31848227,0.99851,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|180,0.410889,33241958,0.9987,0.3
cspg,2,32,1.2,128,423.294,1175200000,10000,1|190,0.387606,34617023,0.99881,0.3
