index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,10,1000,5,688.101,4296491048,1000,1|10,0.094231,614994,0.3717,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|20,0.132369,913776,0.5236,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|30,0.169497,1176110,0.6155,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|40,0.179682,1416517,0.6784,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|50,0.213206,1646470,0.7293,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|60,0.234168,1880637,0.7644,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|70,0.248634,2105148,0.7978,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|80,0.303006,2330849,0.8218,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|90,0.34863,2554459,0.8432,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|100,0.329667,2771177,0.8604,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|110,0.37125,2984330,0.8731,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|120,0.411722,3200081,0.8827,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|130,0.419987,3411833,0.8945,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|140,0.439464,3622080,0.9051,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|150,0.455426,3835015,0.9122,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|160,0.493283,4045564,0.9186,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|170,0.519994,4256860,0.9262,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|180,0.525842,4462390,0.9311,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|190,0.547574,4669004,0.9361,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|200,0.573862,4874002,0.9398,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|210,0.608673,5078925,0.9445,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|220,0.638532,5285293,0.9485,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|230,0.629611,5484132,0.9514,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|240,0.652226,5681261,0.9548,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|250,0.695664,5884449,0.9573,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|260,0.69538,6080303,0.9592,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|270,0.74321,6273678,0.9611,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|280,0.753809,6471895,0.9641,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|290,0.780451,6664185,0.9661,0.1
cspg,2,10,1000,5,688.101,4296491048,1000,1|300,0.801507,6854773,0.9688,0.1
cspg,2,10,1000,5,1122.71,4687421264,1000,1|10,0.10617,634317,0.4425,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|20,0.152255,927816,0.6011,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|30,0.174262,1182228,0.6875,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|40,0.198901,1425247,0.7513,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|50,0.21563,1654202,0.794,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|60,0.261869,1883761,0.822,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|70,0.268651,2117405,0.8502,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|80,0.292024,2337315,0.872,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|90,0.312544,2557178,0.888,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|100,0.36016,2776442,0.9027,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|110,0.374741,2999300,0.9149,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|120,0.399451,3215224,0.9246,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|130,0.41942,3430784,0.9328,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|140,0.45206,3648011,0.939,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|150,0.488912,3864592,0.9465,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|160,0.49164,4075484,0.9523,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|170,0.521014,4282944,0.9565,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|180,0.533329,4492711,0.9606,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|190,0.597458,4700468,0.9651,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|200,0.625077,4906923,0.9672,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|210,0.603306,5112509,0.9691,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|220,0.637676,5313702,0.9705,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|230,0.714209,5515041,0.9724,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|240,0.677261,5715802,0.9733,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|250,0.741114,5916198,0.9742,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|260,0.783462,6115242,0.9759,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|270,0.833368,6311716,0.9777,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|280,0.880516,6509015,0.979,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|290,0.883613,6703924,0.9803,0.2
cspg,2,10,1000,5,1122.71,4687421264,1000,1|300,0.905027,6897162,0.9816,0.2
cspg,2,10,1000,5,1547.14,5078029592,1000,1|10,0.104216,634678,0.492,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|20,0.136417,921909,0.6535,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|30,0.17202,1176142,0.743,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|40,0.217956,1414739,0.8037,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|50,0.221514,1652229,0.846,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|60,0.249342,1881674,0.8751,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|70,0.265917,2106821,0.8963,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|80,0.322512,2329956,0.9124,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|90,0.347089,2552904,0.925,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|100,0.408903,2772725,0.9361,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|110,0.429498,2994716,0.9456,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|120,0.463101,3209185,0.9512,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|130,0.478966,3426061,0.9581,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|140,0.50572,3639176,0.9645,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|150,0.52143,3850159,0.9679,0.3
cspg,2,10,1000,5,1547.14,5078029592,1000,1|160,0.581216,4066692,0.971,0.3
