index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,128,499.626,8747626368,1000,1|10,0.0903797,632380,0.4296,0.1
cspg,2,32,128,499.626,8747626368,1000,1|20,0.150678,950539,0.5786,0.1
cspg,2,32,128,499.626,8747626368,1000,1|30,0.16599,1231007,0.6692,0.1
cspg,2,32,128,499.626,8747626368,1000,1|40,0.191585,1491885,0.7289,0.1
cspg,2,32,128,499.626,8747626368,1000,1|50,0.223016,1739554,0.7677,0.1
cspg,2,32,128,499.626,8747626368,1000,1|60,0.258124,1981029,0.8005,0.1
cspg,2,32,128,499.626,8747626368,1000,1|70,0.281412,2218593,0.8262,0.1
cspg,2,32,128,499.626,8747626368,1000,1|80,0.324703,2450988,0.8437,0.1
cspg,2,32,128,499.626,8747626368,1000,1|90,0.344888,2677786,0.8583,0.1
cspg,2,32,128,499.626,8747626368,1000,1|100,0.375931,2915279,0.8735,0.1
cspg,2,32,128,499.626,8747626368,1000,1|110,0.444777,3139502,0.8862,0.1
cspg,2,32,128,499.626,8747626368,1000,1|120,0.460201,3364785,0.8978,0.1
cspg,2,32,128,499.626,8747626368,1000,1|130,0.440834,3578329,0.9054,0.1
cspg,2,32,128,499.626,8747626368,1000,1|140,0.466777,3796744,0.9134,0.1
cspg,2,32,128,499.626,8747626368,1000,1|150,0.488329,4009862,0.9197,0.1
cspg,2,32,128,499.626,8747626368,1000,1|160,0.484504,4230077,0.9253,0.1
cspg,2,32,128,499.626,8747626368,1000,1|170,0.529817,4442967,0.9311,0.1
cspg,2,32,128,499.626,8747626368,1000,1|180,0.54151,4649987,0.9354,0.1
cspg,2,32,128,499.626,8747626368,1000,1|190,0.619389,4857688,0.9396,0.1
cspg,2,32,128,499.626,8747626368,1000,1|200,0.628477,5064540,0.9427,0.1
cspg,2,32,128,499.626,8747626368,1000,1|210,0.64813,5263624,0.9465,0.1
cspg,2,32,128,499.626,8747626368,1000,1|220,0.695192,5462304,0.9496,0.1
cspg,2,32,128,499.626,8747626368,1000,1|230,0.68627,5662319,0.9523,0.1
cspg,2,32,128,499.626,8747626368,1000,1|240,0.715309,5860873,0.9543,0.1
cspg,2,32,128,499.626,8747626368,1000,1|250,0.747963,6056130,0.957,0.1
cspg,2,32,128,499.626,8747626368,1000,1|260,0.770602,6247107,0.9589,0.1
cspg,2,32,128,499.626,8747626368,1000,1|270,0.801275,6437744,0.9608,0.1
cspg,2,32,128,499.626,8747626368,1000,1|280,0.826935,6632924,0.9624,0.1
cspg,2,32,128,499.626,8747626368,1000,1|290,0.84233,6823360,0.9636,0.1
cspg,2,32,128,499.626,8747626368,1000,1|300,0.852328,7011280,0.965,0.1
cspg,2,32,128,818.547,9542877616,1000,1|10,0.0780567,637692,0.4766,0.2
cspg,2,32,128,818.547,9542877616,1000,1|20,0.145964,953737,0.621,0.2
cspg,2,32,128,818.547,9542877616,1000,1|30,0.149786,1235369,0.7104,0.2
cspg,2,32,128,818.547,9542877616,1000,1|40,0.214734,1492083,0.7698,0.2
cspg,2,32,128,818.547,9542877616,1000,1|50,0.224252,1741616,0.8122,0.2
cspg,2,32,128,818.547,9542877616,1000,1|60,0.252861,1982980,0.8425,0.2
cspg,2,32,128,818.547,9542877616,1000,1|70,0.272612,2217567,0.8649,0.2
cspg,2,32,128,818.547,9542877616,1000,1|80,0.312835,2449535,0.8796,0.2
