index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,1.2,128,841.967,8597600000,1000,1|10,0.0825543,598002,0.4128,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|20,0.125954,865153,0.5644,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|30,0.133457,1095161,0.65,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|40,0.187821,1306045,0.7058,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|50,0.197283,1501354,0.7462,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|60,0.222703,1691414,0.7759,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|70,0.237845,1878027,0.8018,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|80,0.251769,2065028,0.822,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|90,0.281123,2238415,0.8362,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|100,0.298257,2411663,0.849,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|110,0.304068,2584719,0.8606,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|120,0.31783,2752414,0.8697,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|130,0.349447,2923615,0.8783,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|140,0.345616,3089514,0.8861,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|150,0.371316,3248336,0.893,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|160,0.424644,3413178,0.9008,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|170,0.422695,3571044,0.9052,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|180,0.444216,3726347,0.9095,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|190,0.452967,3886572,0.9149,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|200,0.45154,4043245,0.9193,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|210,0.481009,4195215,0.9226,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|220,0.502722,4346532,0.925,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|230,0.512543,4496347,0.9284,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|240,0.552254,4647422,0.9317,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|250,0.578954,4794887,0.934,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|260,0.56713,4942213,0.9371,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|270,0.577769,5087963,0.9398,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|280,0.598184,5234873,0.9416,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|290,0.623149,5376810,0.9435,0.1
cspg,2,32,1.2,128,841.967,8597600000,1000,1|300,0.639033,5517526,0.945,0.1
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|10,0.0633709,600819,0.4691,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|20,0.111947,866590,0.6164,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|30,0.162799,1096082,0.6992,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|40,0.18973,1309571,0.7552,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|50,0.192362,1502976,0.7918,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|60,0.226887,1687237,0.8152,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|70,0.249324,1873320,0.8374,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|80,0.28098,2056130,0.8555,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|90,0.289447,2236165,0.8717,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|100,0.320273,2412923,0.8837,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|110,0.3585,2585696,0.8927,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|120,0.364516,2753791,0.9022,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|130,0.378045,2921272,0.9107,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|140,0.371077,3083925,0.9175,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|150,0.389966,3248916,0.9239,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|160,0.436193,3407971,0.9288,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|170,0.452128,3565321,0.9321,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|180,0.457075,3726135,0.9364,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|190,0.485908,3884508,0.94,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|200,0.51157,4040362,0.9442,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|210,0.523656,4191711,0.9471,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|220,0.531345,4344010,0.9507,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|230,0.588212,4495663,0.9538,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|240,0.594611,4642641,0.956,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|250,0.602882,4790838,0.9584,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|260,0.651885,4936982,0.9606,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|270,0.610468,5079348,0.9623,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|280,0.634068,5223558,0.9636,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|290,0.661026,5368651,0.9651,0.2
cspg,2,32,1.2,128,1323.28,9379200000,1000,1|300,0.697061,5512100,0.9667,0.2
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|10,0.0701356,606344,0.4927,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|20,0.123141,882913,0.6571,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|30,0.151692,1105736,0.7375,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|40,0.186149,1310460,0.7909,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|50,0.209552,1513520,0.8291,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|60,0.208977,1702682,0.8588,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|70,0.248998,1882373,0.8747,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|80,0.280874,2060563,0.8906,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|90,0.291201,2236606,0.9031,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|100,0.331892,2414487,0.9156,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|110,0.329274,2584957,0.9219,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|120,0.350995,2754161,0.9286,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|130,0.37933,2918093,0.9362,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|140,0.393821,3084178,0.9433,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|150,0.401127,3249395,0.9479,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|160,0.413401,3406692,0.9503,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|170,0.458482,3566890,0.9531,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|180,0.477831,3723524,0.9569,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|190,0.497111,3879789,0.9596,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|200,0.526809,4037202,0.9627,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|210,0.512697,4190212,0.9658,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|220,0.567417,4339903,0.968,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|230,0.593903,4488602,0.9698,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|240,0.587064,4639293,0.9718,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|250,0.576192,4785205,0.9733,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|260,0.641577,4931261,0.9752,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|270,0.660021,5076727,0.9768,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|280,0.677936,5219450,0.9786,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|290,0.667568,5364875,0.9798,0.3
cspg,2,32,1.2,128,1856.99,10160800000,1000,1|300,0.68136,5506118,0.9809,0.3
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|10,0.0767361,590865,0.5297,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|20,0.115387,866446,0.6831,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|30,0.135005,1094000,0.7643,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|40,0.178026,1303486,0.8168,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|50,0.208124,1501300,0.8474,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|60,0.228454,1693252,0.8755,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|70,0.234883,1873345,0.8929,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|80,0.261145,2054327,0.9093,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|90,0.310811,2233508,0.9212,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|100,0.323737,2407294,0.9328,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|110,0.345468,2575798,0.9401,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|120,0.367163,2741322,0.9467,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|130,0.405396,2908032,0.9508,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|140,0.392001,3076181,0.9548,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|150,0.409315,3239257,0.9587,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|160,0.421803,3405325,0.9628,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|170,0.454247,3559946,0.9655,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|180,0.454533,3717359,0.969,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|190,0.485994,3871106,0.972,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|200,0.507055,4024520,0.9731,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|210,0.551603,4178616,0.9757,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|220,0.57459,4329340,0.9784,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|230,0.584971,4478420,0.9805,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|240,0.617598,4625771,0.9828,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|250,0.640938,4775320,0.9831,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|260,0.644986,4920036,0.9842,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|270,0.651312,5066351,0.9854,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|280,0.689193,5207347,0.9862,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|290,0.750381,5351631,0.987,0.4
cspg,2,32,1.2,128,2428.31,10942400000,1000,1|300,0.705324,5489909,0.9875,0.4
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|10,0.0804597,606962,0.5375,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|20,0.12304,876759,0.6983,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|30,0.13086,1104133,0.7774,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|40,0.182017,1312011,0.8308,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|50,0.209972,1505312,0.8623,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|60,0.225306,1695057,0.885,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|70,0.230161,1876778,0.8996,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|80,0.244433,2057758,0.9174,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|90,0.277924,2236522,0.9322,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|100,0.297255,2408685,0.9399,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|110,0.314514,2575502,0.9482,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|120,0.328944,2745851,0.953,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|130,0.349695,2911981,0.9592,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|140,0.367892,3076207,0.9639,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|150,0.415509,3238045,0.9698,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|160,0.408892,3402060,0.9736,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|170,0.449028,3560787,0.9768,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|180,0.462824,3714863,0.9794,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|190,0.467163,3869178,0.9806,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|200,0.515595,4022545,0.9823,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|210,0.503803,4176581,0.9832,0.5
cspg,2,32,1.2,128,3057.12,11724000000,1000,1|220,0.567712,4325863,0.984,0.5
