index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
binhnsw,2,32,128,44.1124,289670584,10000,1|10,0.114040,5619440,0.73464,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|20,0.1698768,7903441,0.86267,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|30,0.2230752,9997838,0.9147,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|40,0.2674284,12036180,0.94295,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|50,0.3133883,14010022,0.95801,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|60,0.3506952,15926948,0.96787,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|70,0.3931632,17802787,0.97429,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|80,0.4336572,19634557,0.97892,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|90,0.471152,21422947,0.98192,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|100,0.510398,23187945,0.98435,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|110,0.5556432,24911572,0.98622,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|120,0.603192,26605509,0.98755,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|130,0.63039,28274961,0.98875,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|140,0.684186,29917073,0.98962,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|150,0.72665,31541297,0.99022,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|160,0.7632456,33137600,0.99097,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|170,0.795691,34711319,0.99155,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|180,0.8308584,36270513,0.99206,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|190,0.8601228,37811775,0.99234,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|200,0.9074076,39336741,0.99279,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|210,0.9419436,40839454,0.99307,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|220,0.9809544,42329151,0.99326,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|230,1.02693,43803751,0.99353,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|240,1.046088,45268593,0.99368,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|250,1.087444,46712989,0.9938,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|260,1.1216388,48145634,0.99392,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|270,1.1584428,49564975,0.99412,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|280,1.19679,50978205,0.99422,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|290,1.1770572,52376193,0.99434,0.1
binhnsw,2,32,128,44.1124,289670584,10000,1|300,1.1959632,53760397,0.99438,0.1
