index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,128,40.1137,299200000,10000,1|10,0.105656,6537834,0.63272,0.1
cspg,2,32,128,40.1137,299200000,10000,1|20,0.159841,9099713,0.7928,0.1
cspg,2,32,128,40.1137,299200000,10000,1|30,0.208927,11371218,0.86957,0.1
cspg,2,32,128,40.1137,299200000,10000,1|40,0.252815,13511246,0.91001,0.1
cspg,2,32,128,40.1137,299200000,10000,1|50,0.295322,15585006,0.93432,0.1
cspg,2,32,128,40.1137,299200000,10000,1|60,0.337003,17618708,0.94893,0.1
cspg,2,32,128,40.1137,299200000,10000,1|70,0.379045,19618769,0.95884,0.1
cspg,2,32,128,40.1137,299200000,10000,1|80,0.418957,21579765,0.96538,0.1
cspg,2,32,128,40.1137,299200000,10000,1|90,0.451733,23506761,0.97013,0.1
cspg,2,32,128,40.1137,299200000,10000,1|100,0.489448,25399682,0.97341,0.1
cspg,2,32,128,40.1137,299200000,10000,1|110,0.542396,27260190,0.97592,0.1
cspg,2,32,128,40.1137,299200000,10000,1|120,0.574545,29095804,0.9778,0.1
cspg,2,32,128,40.1137,299200000,10000,1|130,0.611496,30898977,0.97957,0.1
cspg,2,32,128,40.1137,299200000,10000,1|140,0.643603,32681043,0.98068,0.1
cspg,2,32,128,40.1137,299200000,10000,1|150,0.674888,34454397,0.98164,0.1
cspg,2,32,128,40.1137,299200000,10000,1|160,0.710013,36178191,0.98243,0.1
cspg,2,32,128,40.1137,299200000,10000,1|170,0.744257,37896974,0.98307,0.1
cspg,2,32,128,40.1137,299200000,10000,1|180,0.7773,39592427,0.98357,0.1
cspg,2,32,128,40.1137,299200000,10000,1|190,0.813014,41270122,0.98403,0.1
cspg,2,32,128,40.1137,299200000,10000,1|200,0.839534,42927294,0.98451,0.1
cspg,2,32,128,40.1137,299200000,10000,1|210,0.85977,44574114,0.98488,0.1
cspg,2,32,128,40.1137,299200000,10000,1|220,0.892927,46200154,0.98508,0.1
cspg,2,32,128,40.1137,299200000,10000,1|230,0.920434,47814579,0.98533,0.1
cspg,2,32,128,40.1137,299200000,10000,1|240,0.958067,49407288,0.98552,0.1
cspg,2,32,128,40.1137,299200000,10000,1|250,0.991371,50991542,0.98568,0.1
cspg,2,32,128,40.1137,299200000,10000,1|260,1.01712,52559246,0.98577,0.1
cspg,2,32,128,40.1137,299200000,10000,1|270,1.0333,54115836,0.98591,0.1
