index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,10,1000,5,221.246,622707224,10000,1|10,0.0592727,3786027,0.51313,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|20,0.0865748,5232553,0.67374,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|30,0.107042,6529175,0.76575,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|40,0.128836,7742005,0.82096,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|50,0.151059,8921609,0.86039,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|60,0.169025,10065012,0.88803,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|70,0.184855,11196174,0.90865,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|80,0.204735,12315451,0.92396,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|90,0.224219,13415800,0.9359,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|100,0.244834,14509858,0.945,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|110,0.274401,15591423,0.95256,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|120,0.285877,16662580,0.95897,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|130,0.295024,17721054,0.96384,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|140,0.315893,18769472,0.96776,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|150,0.341014,19814156,0.97122,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|160,0.354803,20850965,0.97432,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|170,0.376205,21877890,0.97695,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|180,0.399544,22896469,0.97921,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|190,0.416216,23909685,0.98133,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|200,0.429435,24909863,0.98308,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|210,0.445749,25905297,0.98454,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|220,0.438098,26890521,0.98579,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|230,0.448705,27871307,0.98691,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|240,0.456171,28844910,0.98778,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|250,0.448173,29811500,0.98862,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|260,0.486752,30772840,0.98927,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|270,0.494633,31732595,0.99004,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|280,0.505266,32681443,0.99064,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|290,0.514732,33626862,0.9913,0.1
cspg,2,10,1000,5,221.246,622707224,10000,1|300,0.660908,34564483,0.99194,0.1
cspg,2,10,1000,5,353.584,679558296,10000,1|10,0.0567654,3842992,0.59096,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|20,0.081343,5276936,0.75412,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|30,0.103616,6530292,0.8346,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|40,0.12581,7726262,0.88096,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|50,0.148243,8888687,0.91126,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|60,0.167899,10033852,0.93165,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|70,0.187756,11165294,0.94493,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|80,0.208334,12276673,0.95455,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|90,0.226176,13379955,0.96247,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|100,0.231768,14472550,0.96856,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|110,0.233555,15554059,0.97324,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|120,0.250617,16628301,0.97673,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|130,0.267403,17687023,0.97978,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|140,0.293399,18740242,0.98232,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|150,0.313578,19780525,0.984,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|160,0.325514,20817291,0.986,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|170,0.32776,21845987,0.98756,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|180,0.345221,22860100,0.98889,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|190,0.363247,23870988,0.99001,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|200,0.38255,24871132,0.99092,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|210,0.393222,25863309,0.99185,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|220,0.406803,26852817,0.99252,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|230,0.427667,27833616,0.99314,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|240,0.449393,28805370,0.99378,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|250,0.475524,29767549,0.9943,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|260,0.485517,30728039,0.99486,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|270,0.502255,31682539,0.99514,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|280,0.512065,32624307,0.99553,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|290,0.529042,33566105,0.996,0.2
cspg,2,10,1000,5,353.584,679558296,10000,1|300,0.542904,34503126,0.9963,0.2
cspg,2,10,1000,5,500.066,735908144,10000,1|10,0.0610688,3837031,0.64345,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|20,0.0884185,5242721,0.80217,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|30,0.107787,6466542,0.87204,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|40,0.128642,7641051,0.91066,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|50,0.148807,8784360,0.93564,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|60,0.168315,9911578,0.95154,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|70,0.189106,11019857,0.96225,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|80,0.209919,12112148,0.9693,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|90,0.226895,13203518,0.97546,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|100,0.282277,14277565,0.97973,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|110,0.269514,15348421,0.98298,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|120,0.27586,16396380,0.98539,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|130,0.29431,17450088,0.98739,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|140,0.313939,18483935,0.98922,0.3
cspg,2,10,1000,5,500.066,735908144,10000,1|150,0.332897,19506995,0.9906,0.3
