index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,128,70.1511,1426025280,10000,1|10,0.0742435,5218781,0.65053,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|20,0.119481,7699951,0.80054,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|30,0.156854,9928441,0.87455,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|40,0.196164,12052597,0.91481,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|50,0.228785,14125881,0.93902,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|60,0.262733,16141303,0.95383,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|70,0.297438,18118156,0.96337,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|80,0.333341,20058681,0.97013,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|90,0.362788,21972349,0.97514,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|100,0.39475,23857178,0.97861,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|110,0.428904,25711456,0.98092,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|120,0.440576,27535817,0.98262,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|130,0.476291,29326914,0.98409,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|140,0.500798,31106774,0.98556,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|150,0.529337,32861462,0.98644,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|160,0.559704,34584941,0.98735,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|170,0.59506,36290582,0.98814,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|180,0.623203,37977585,0.98871,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|190,0.643801,39647167,0.98912,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|200,0.674786,41301470,0.98943,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|210,0.70222,42939288,0.98976,0.1
cspg,2,32,128,70.1511,1426025280,10000,1|220,0.67935,44561336,0.99003,0.1
