index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,dedup
cspg,2,32,1.2,128,204.183,1276000000,10000,1|10,0.0593648,5240220,0.66631,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|20,0.088096,7396841,0.81876,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|30,0.130476,9358110,0.88979,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|40,0.146407,11218627,0.9278,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|50,0.171801,13011013,0.94912,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|60,0.198641,14779493,0.96309,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|70,0.225377,16510122,0.97229,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|80,0.259409,18208545,0.97822,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|90,0.270714,19889955,0.98313,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|100,0.339761,21535396,0.98628,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|110,0.336886,23152002,0.98872,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|120,0.359813,24741510,0.99014,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|130,0.359442,26315745,0.99171,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|140,0.377773,27861099,0.99286,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|150,0.450101,29394172,0.99379,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|160,0.458217,30897275,0.99456,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|170,0.48698,32391411,0.99544,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|180,0.519129,33866993,0.99596,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|190,0.514005,35323056,0.99636,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|200,0.527401,36768392,0.99668,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|210,0.537017,38196011,0.99699,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|220,0.571918,39606847,0.99716,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|230,0.631049,41006928,0.99738,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|240,0.62489,42396174,0.9975,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|250,0.638526,43770536,0.99773,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|260,0.646464,45130462,0.99795,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|270,0.66406,46481402,0.99818,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|280,0.674546,47819351,0.99835,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|290,0.688711,49149205,0.99845,0.1
cspg,2,32,1.2,128,204.183,1276000000,10000,1|300,0.81159,50465972,0.99856,0.1
cspg,2,32,1.2,128,322.753,1392000000,10000,1|10,0.0638386,5245725,0.7577,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|20,0.0971532,7317982,0.88641,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|30,0.128133,9234984,0.93855,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|40,0.159361,11067405,0.96164,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|50,0.181727,12868493,0.97455,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|60,0.211937,14638252,0.98234,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|70,0.235048,16363647,0.9868,0.2
cspg,2,32,1.2,128,322.753,1392000000,10000,1|80,0.278656,18069057,0.98982,0.2
