index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 10, 0.0220635, 1414570, 0.1571
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 20, 0.026245, 2753787, 0.61946
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 30, 0.0380387, 4051241, 0.77657
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 40, 0.0503652, 5314511, 0.83995
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 50, 0.0655937, 6575656, 0.87676
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 60, 0.0813588, 7820403, 0.90126
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 70, 0.099896, 9058950, 0.9173
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 80, 0.121244, 10292553, 0.92904
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 90, 0.147867, 11506546, 0.93881
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 100, 0.176541, 12719534, 0.94606
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 110, 0.205066, 13930051, 0.95182
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 120, 0.247287, 15134568, 0.95563
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 130, 0.281582, 16344005, 0.96033
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 140, 0.321554, 17539282, 0.96316
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 150, 0.344917, 18746413, 0.96623
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 160, 0.378015, 19945126, 0.96847
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 170, 0.422563, 21131033, 0.9708
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 180, 0.478106, 22323802, 0.9725
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 190, 0.521376, 23514737, 0.97395
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 200, 0.572375, 24701168, 0.97574
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 210, 0.632421, 25878460, 0.97634
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 220, 0.678196, 27058298, 0.97785
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 230, 0.734948, 28250325, 0.97945
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 240, 0.796566, 29436191, 0.98023
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 250, 0.861769, 30597057, 0.98109
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 260, 0.926275, 31773484, 0.9817
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 270, 0.995374, 32939523, 0.98254
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 280, 1.06861, 34114572, 0.98332
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 290, 1.14697, 35280867, 0.98391
hcnng, 1, 10, 1000, 5, 9.98068, 5709896, 10000, 300, 1.21785, 36433689, 0.98432
