index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|10, 0.0180382, 2838153, 0.80893
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|20, 0.025058, 3850594, 0.92086
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|30, 0.0297523, 4749349, 0.95956
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|40, 0.0354354, 5604825, 0.97716
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|50, 0.0407744, 6429320, 0.98591
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|60, 0.0470466, 7238931, 0.99072
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|70, 0.0515749, 8031584, 0.99374
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|80, 0.0563634, 8815201, 0.99582
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|90, 0.062304, 9579867, 0.99703
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|100, 0.0677497, 10334139, 0.99762
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|110, 0.0742469, 11076295, 0.9984
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|120, 0.0773175, 11806751, 0.99868
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|130, 0.0839064, 12526965, 0.99887
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|140, 0.0899568, 13241044, 0.99914
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|150, 0.095048, 13943095, 0.99923
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|160, 0.0976636, 14634758, 0.99942
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|170, 0.102418, 15321571, 0.9995
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|180, 0.106476, 16003256, 0.99963
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|190, 0.112881, 16673090, 0.99968
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|200, 0.116316, 17336487, 0.99971
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|210, 0.123953, 17992896, 0.99976
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|220, 0.125091, 18644253, 0.99978
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|230, 0.129846, 19292255, 0.99979
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|240, 0.136056, 19926577, 0.99985
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|250, 0.1407, 20554717, 0.99987
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|260, 0.143261, 21184930, 0.99987
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|270, 0.149606, 21803697, 0.99987
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|280, 0.153115, 22420220, 0.99989
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|290, 0.164616, 23035592, 0.9999
cspg, 2, 10, 1000, 5, 15.5002, 8332832, 10000, 1|300, 0.161885, 23641527, 0.9999
