index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,32,128,1.53174,28054240,10000,10,0.0373213,4065133,0.82453
hnsw,1,32,128,1.53174,28054240,10000,20,0.0531824,6024485,0.9192
hnsw,1,32,128,1.53174,28054240,10000,30,0.066051,7866510,0.95326
hnsw,1,32,128,1.53174,28054240,10000,40,0.0774171,9618618,0.96869
hnsw,1,32,128,1.53174,28054240,10000,50,0.0887505,11289644,0.97692
hnsw,1,32,128,1.53174,28054240,10000,60,0.0987382,12893776,0.9816
hnsw,1,32,128,1.53174,28054240,10000,70,0.110029,14431575,0.98431
hnsw,1,32,128,1.53174,28054240,10000,80,0.119927,15926896,0.98601
hnsw,1,32,128,1.53174,28054240,10000,90,0.131024,17378750,0.98713
hnsw,1,32,128,1.53174,28054240,10000,100,0.139344,18783757,0.98796
hnsw,1,32,128,1.53174,28054240,10000,110,0.151668,20159696,0.98862
hnsw,1,32,128,1.53174,28054240,10000,120,0.15911,21499007,0.98895
hnsw,1,32,128,1.53174,28054240,10000,130,0.167785,22812046,0.98933
hnsw,1,32,128,1.53174,28054240,10000,140,0.173761,24095431,0.98947
hnsw,1,32,128,1.53174,28054240,10000,150,0.183222,25350974,0.98967
hnsw,1,32,128,1.53174,28054240,10000,160,0.196068,26582374,0.98982
hnsw,1,32,128,1.53174,28054240,10000,170,0.203698,27791326,0.98989
hnsw,1,32,128,1.53174,28054240,10000,180,0.213031,28978238,0.98996
hnsw,1,32,128,1.53174,28054240,10000,190,0.219218,30152554,0.99003
hnsw,1,32,128,1.53174,28054240,10000,200,0.22524,31305629,0.99007
hnsw,1,32,128,1.53174,28054240,10000,210,0.239866,32444268,0.99015
hnsw,1,32,128,1.53174,28054240,10000,220,0.251274,33566534,0.99021
hnsw,1,32,128,1.53174,28054240,10000,230,0.255434,34672214,0.99025
hnsw,1,32,128,1.53174,28054240,10000,240,0.261937,35763931,0.99026
hnsw,1,32,128,1.53174,28054240,10000,250,0.266284,36839467,0.9903
hnsw,1,32,128,1.53174,28054240,10000,260,0.274814,37905839,0.99036
hnsw,1,32,128,1.53174,28054240,10000,270,0.283872,38960531,0.99037
hnsw,1,32,128,1.53174,28054240,10000,280,0.297765,40004876,0.9904
hnsw,1,32,128,1.53174,28054240,10000,290,0.305928,41033435,0.99042
hnsw,1,32,128,1.53174,28054240,10000,300,0.331324,42052901,0.99043
