index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|10, 0.0212545, 4301201, 0.94213
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|20, 0.0291657, 6050950, 0.98438
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|30, 0.0437675, 7680590, 0.99399
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|40, 0.0517777, 9237222, 0.99712
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|50, 0.0594649, 10741820, 0.99839
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|60, 0.0662628, 12194237, 0.99929
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|70, 0.0752278, 13600291, 0.99954
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|80, 0.0865182, 14966443, 0.99973
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|90, 0.0963606, 16295301, 0.99982
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|100, 0.103253, 17593379, 0.99989
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|110, 0.112826, 18861095, 0.99991
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|120, 0.116247, 20103654, 0.99992
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|130, 0.124152, 21322325, 0.99995
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|140, 0.132143, 22513852, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|150, 0.135993, 23693754, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|160, 0.145884, 24851569, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|170, 0.151719, 25988400, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|180, 0.175575, 27107775, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|190, 0.170124, 28208873, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|200, 0.176225, 29296284, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|210, 0.191135, 30371372, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|220, 0.204589, 31433227, 0.99998
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|230, 0.206955, 32480910, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|240, 0.20681, 33517372, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|250, 0.210172, 34538757, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|260, 0.226496, 35547669, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|270, 0.224502, 36545531, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|280, 0.24936, 37536170, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|290, 0.246359, 38515715, 0.99999
cspg, 2, 32, 1.2, 128, 12.6274, 21600000, 10000, 1|300, 0.244753, 39486776, 0.99999
