index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 10, 0.0422227, 2937022, 0.26417
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 20, 0.073689, 5593150, 0.80434
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 30, 0.10103, 8198467, 0.89475
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 40, 0.124468, 10780972, 0.9276
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 50, 0.152335, 13336664, 0.94571
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 60, 0.181451, 15886273, 0.95677
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 70, 0.212469, 18428629, 0.96453
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 80, 0.241257, 20956950, 0.97003
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 90, 0.280489, 23472440, 0.97391
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 100, 0.313169, 25993372, 0.97674
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 110, 0.353018, 28502921, 0.97866
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 120, 0.392883, 30994746, 0.98103
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 130, 0.436618, 33493986, 0.98258
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 140, 0.482583, 35984326, 0.98389
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 150, 0.538998, 38462663, 0.98527
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 160, 0.585461, 40948509, 0.98628
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 170, 0.656694, 43425622, 0.98707
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 180, 0.70582, 45908474, 0.9877
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 190, 0.772941, 48378466, 0.98846
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 200, 0.825421, 50848050, 0.98898
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 210, 0.886066, 53330728, 0.98942
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 220, 0.962246, 55787478, 0.98999
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 230, 1.03492, 58260732, 0.99041
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 240, 1.15428, 60717380, 0.99054
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 250, 1.27393, 63188376, 0.99107
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 260, 1.46511, 65650046, 0.99126
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 270, 1.54057, 68101588, 0.99154
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 280, 1.53043, 70564391, 0.99179
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 290, 1.62005, 73019311, 0.9922
vamana, 1, 32, 1.2, 128, 49.9859, 72000000, 10000, 300, 1.65904, 75451737, 0.99238
