index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 10, 0.0625913, 1757400, 0.06371
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 20, 0.0631389, 3538740, 0.44375
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 30, 0.0897939, 5276287, 0.64067
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 40, 0.116017, 6983942, 0.72726
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 50, 0.142449, 8687655, 0.77903
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 60, 0.167256, 10367210, 0.81321
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 70, 0.192728, 12033020, 0.8399
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 80, 0.223631, 13706688, 0.85965
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 90, 0.257632, 15363433, 0.87535
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 100, 0.291181, 17005208, 0.88818
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 110, 0.327448, 18655751, 0.89716
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 120, 0.356956, 20298915, 0.906
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 130, 0.390618, 21934919, 0.91301
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 140, 0.433747, 23557510, 0.92012
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 150, 0.482436, 25187777, 0.92523
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 160, 0.528934, 26810696, 0.93005
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 170, 0.579275, 28433982, 0.9343
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 180, 0.629906, 30073161, 0.9381
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 190, 0.679514, 31671135, 0.94099
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 200, 0.734677, 33280124, 0.94386
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 210, 0.847404, 34893157, 0.9469
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 220, 0.914218, 36512316, 0.94976
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 230, 0.956364, 38120016, 0.95198
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 240, 0.985277, 39727892, 0.95387
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 250, 1.05381, 41335481, 0.95625
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 260, 1.13049, 42923980, 0.958
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 270, 1.20158, 44522638, 0.95937
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 280, 1.28341, 46109967, 0.96103
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 290, 1.36636, 47713773, 0.9629
hcnng, 1, 10, 1000, 5, 201.106, 140170912, 10000, 300, 1.44876, 49316125, 0.96354
