index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|10, 0.0730922, 5465932, 0.8638
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|20, 0.107896, 7686620, 0.9497
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|30, 0.139889, 9710420, 0.97553
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|40, 0.171891, 11687214, 0.98631
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|50, 0.202322, 13601479, 0.99161
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|60, 0.232664, 15480469, 0.99463
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|70, 0.260109, 17338018, 0.99644
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|80, 0.293835, 19145487, 0.99758
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|90, 0.317361, 20931241, 0.99812
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|100, 0.34937, 22691717, 0.9986
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|110, 0.374131, 24436999, 0.99888
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|120, 0.402204, 26148248, 0.99911
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|130, 0.434756, 27845997, 0.99934
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|140, 0.46493, 29513940, 0.99942
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|150, 0.502092, 31165838, 0.99949
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|160, 0.522613, 32802957, 0.99961
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|170, 0.551346, 34425026, 0.99963
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|180, 0.577704, 36024997, 0.99963
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|190, 0.598084, 37613110, 0.99965
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|200, 0.615963, 39190353, 0.99973
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|210, 0.652924, 40741198, 0.99974
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|220, 0.690613, 42287092, 0.99975
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|230, 0.699885, 43817857, 0.99981
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|240, 0.726019, 45339613, 0.99986
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|250, 0.749948, 46850470, 0.99987
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|260, 0.775983, 48343718, 0.99987
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|270, 0.797844, 49829073, 0.99987
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|280, 0.824184, 51305798, 0.99988
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|290, 0.84786, 52770407, 0.99993
cspg, 2, 32, 1.2, 128, 333.622, 432000000, 10000, 1|300, 0.869947, 54225914, 0.99993
