index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|10, 0.104367, 6250672, 0.81844
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|20, 0.15048, 9158119, 0.92323
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|30, 0.198038, 11819526, 0.9591
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|40, 0.242893, 14354125, 0.97416
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|50, 0.286865, 16870330, 0.98212
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|60, 0.329853, 19331509, 0.9867
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|70, 0.374399, 21769361, 0.98957
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|80, 0.419829, 24171360, 0.9911
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|90, 0.459886, 26540676, 0.99235
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|100, 0.500876, 28876821, 0.99292
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|110, 0.541319, 31194286, 0.99332
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|120, 0.580722, 33469642, 0.99361
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|130, 0.626163, 35734217, 0.9938
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|140, 0.656642, 37981377, 0.99396
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|150, 0.695068, 40192922, 0.99408
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|160, 0.737531, 42394187, 0.99417
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|170, 0.774624, 44571750, 0.99425
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|180, 0.8153, 46722331, 0.99427
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|190, 0.851707, 48857669, 0.99432
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|200, 0.883247, 50978610, 0.99436
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|210, 0.910578, 53081669, 0.99443
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|220, 0.941575, 55173433, 0.99445
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|230, 0.983025, 57243853, 0.99449
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|240, 1.0175, 59301673, 0.99454
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|250, 1.04721, 61346545, 0.99455
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|260, 1.07399, 63375238, 0.99456
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|270, 1.23571, 65399082, 0.99456
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|280, 1.14957, 67404598, 0.9946
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|290, 1.1805, 69400264, 0.99462
cspg, 2, 32, 128, 373.247, 2102736560, 10000, 1|300, 1.24193, 71374842, 0.99463
