index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 10, 0.0534681, 3035489, 0.14041
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 20, 0.101189, 5866185, 0.65924
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 30, 0.139994, 8644686, 0.80214
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 40, 0.179668, 11389032, 0.85633
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 50, 0.213501, 14122892, 0.88656
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 60, 0.246172, 16843319, 0.90712
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 70, 0.28669, 19548306, 0.92077
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 80, 0.319704, 22250066, 0.93045
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 90, 0.357079, 24933033, 0.93844
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 100, 0.403336, 27613109, 0.94464
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 110, 0.443659, 30288956, 0.94982
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 120, 0.490858, 32964308, 0.95451
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 130, 0.542731, 35633792, 0.95758
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 140, 0.596973, 38290296, 0.96075
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 150, 0.649565, 40949556, 0.96317
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 160, 0.706609, 43600396, 0.96553
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 170, 0.770123, 46258724, 0.96747
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 180, 0.827426, 48906609, 0.9691
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 190, 0.891625, 51555057, 0.97059
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 200, 0.955187, 54189291, 0.97245
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 210, 1.03105, 56822600, 0.9738
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 220, 1.09646, 59463893, 0.97472
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 230, 1.17349, 62103233, 0.97581
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 240, 1.25487, 64729353, 0.97667
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 250, 1.33425, 67365824, 0.97727
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 260, 1.42234, 69997977, 0.97804
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 270, 1.51958, 72621568, 0.97898
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 280, 1.59841, 75238877, 0.97966
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 290, 1.69131, 77851327, 0.98039
vamana, 1, 32, 1.2, 128, 610.783, 720000000, 10000, 300, 1.7886, 80456619, 0.98092
