index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,10,1000,5,142.28,671917848,10000,1,10,0.0489447,4155982,0.7749
cspg,2,10,1000,5,142.28,671917848,10000,1,20,0.0683461,5747235,0.8883
cspg,2,10,1000,5,142.28,671917848,10000,1,30,0.0887397,7181254,0.93392
cspg,2,10,1000,5,142.28,671917848,10000,1,40,0.106829,8547463,0.9561
cspg,2,10,1000,5,142.28,671917848,10000,1,50,0.12363,9869627,0.9694
cspg,2,10,1000,5,142.28,671917848,10000,1,60,0.139909,11160644,0.97749
cspg,2,10,1000,5,142.28,671917848,10000,1,70,0.162122,12421899,0.9823
cspg,2,10,1000,5,142.28,671917848,10000,1,80,0.182821,13659712,0.98606
cspg,2,10,1000,5,142.28,671917848,10000,1,90,0.208806,14889610,0.98949
cspg,2,10,1000,5,142.28,671917848,10000,1,100,0.226536,16084295,0.99122
cspg,2,10,1000,5,142.28,671917848,10000,1,110,0.243433,17265322,0.99269
cspg,2,10,1000,5,142.28,671917848,10000,1,120,0.264143,18431814,0.99399
cspg,2,10,1000,5,142.28,671917848,10000,1,130,0.282775,19583556,0.9948
cspg,2,10,1000,5,142.28,671917848,10000,1,140,0.299427,20721806,0.99568
cspg,2,10,1000,5,142.28,671917848,10000,1,150,0.316179,21843955,0.99644
cspg,2,10,1000,5,142.28,671917848,10000,1,160,0.315956,22952649,0.99691
cspg,2,10,1000,5,142.28,671917848,10000,1,170,0.343667,24050314,0.99723
cspg,2,10,1000,5,142.28,671917848,10000,1,180,0.359962,25132739,0.99753
cspg,2,10,1000,5,142.28,671917848,10000,1,190,0.364522,26215815,0.99778
cspg,2,10,1000,5,142.28,671917848,10000,1,200,0.361704,27273172,0.99803
cspg,2,10,1000,5,142.28,671917848,10000,1,210,0.377105,28322648,0.9983
cspg,2,10,1000,5,142.28,671917848,10000,1,220,0.429298,29366275,0.99848
cspg,2,10,1000,5,142.28,671917848,10000,1,230,0.446409,30393506,0.99859
cspg,2,10,1000,5,142.28,671917848,10000,1,240,0.454321,31419934,0.99873
cspg,2,10,1000,5,142.28,671917848,10000,1,250,0.424524,32434981,0.99884
cspg,2,10,1000,5,142.28,671917848,10000,1,260,0.434021,33441219,0.99893
cspg,2,10,1000,5,142.28,671917848,10000,1,270,0.443778,34443012,0.99902
cspg,2,10,1000,5,142.28,671917848,10000,1,280,0.471089,35436075,0.99916
cspg,2,10,1000,5,142.28,671917848,10000,1,290,0.472785,36422511,0.99923
cspg,2,10,1000,5,142.28,671917848,10000,1,300,0.500548,37398714,0.99929
cspg,2,10,1000,5,142.28,671917848,10000,2,10,0.0732488,4102009,0.77164
cspg,2,10,1000,5,142.28,671917848,10000,2,20,0.0775156,5707419,0.88665
cspg,2,10,1000,5,142.28,671917848,10000,2,30,0.0954373,7141503,0.93401
cspg,2,10,1000,5,142.28,671917848,10000,2,40,0.114354,8476357,0.95586
cspg,2,10,1000,5,142.28,671917848,10000,2,50,0.134283,9810156,0.96889
cspg,2,10,1000,5,142.28,671917848,10000,2,60,0.148936,11082304,0.97732
cspg,2,10,1000,5,142.28,671917848,10000,2,70,0.164691,12327315,0.98207
cspg,2,10,1000,5,142.28,671917848,10000,2,80,0.180806,13572552,0.98641
cspg,2,10,1000,5,142.28,671917848,10000,2,90,0.202115,14782768,0.98906
cspg,2,10,1000,5,142.28,671917848,10000,2,100,0.2192,15977770,0.99119
cspg,2,10,1000,5,142.28,671917848,10000,2,110,0.230096,17155860,0.99269
cspg,2,10,1000,5,142.28,671917848,10000,2,120,0.247986,18316936,0.99405
cspg,2,10,1000,5,142.28,671917848,10000,2,130,0.258999,19471319,0.99479
cspg,2,10,1000,5,142.28,671917848,10000,2,140,0.277874,20582299,0.99586
