index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,128,41.4181,1560610008,10000,1,10,0.0528386,5759572,0.85431
cspg,2,32,128,41.4181,1560610008,10000,1,20,0.0804304,8192985,0.93478
cspg,2,32,128,41.4181,1560610008,10000,1,30,0.111515,10434381,0.96245
cspg,2,32,128,41.4181,1560610008,10000,1,40,0.141076,12559202,0.97412
cspg,2,32,128,41.4181,1560610008,10000,1,50,0.169584,14623648,0.97972
cspg,2,32,128,41.4181,1560610008,10000,1,60,0.195629,16628893,0.98282
cspg,2,32,128,41.4181,1560610008,10000,1,70,0.215438,18583318,0.98493
cspg,2,32,128,41.4181,1560610008,10000,1,80,0.274052,20493232,0.98643
cspg,2,32,128,41.4181,1560610008,10000,1,90,0.284976,22377122,0.98742
cspg,2,32,128,41.4181,1560610008,10000,1,100,0.306612,24215458,0.98806
cspg,2,32,128,41.4181,1560610008,10000,1,110,0.331716,26019703,0.98834
cspg,2,32,128,41.4181,1560610008,10000,1,120,0.364684,27799564,0.98872
cspg,2,32,128,41.4181,1560610008,10000,1,130,0.387708,29543550,0.98911
cspg,2,32,128,41.4181,1560610008,10000,1,140,0.413547,31264626,0.98921
cspg,2,32,128,41.4181,1560610008,10000,1,150,0.465645,32966576,0.98939
cspg,2,32,128,41.4181,1560610008,10000,1,160,0.445231,34637564,0.98942
cspg,2,32,128,41.4181,1560610008,10000,1,170,0.460489,36288437,0.98959
cspg,2,32,128,41.4181,1560610008,10000,1,180,0.489177,37921672,0.98972
cspg,2,32,128,41.4181,1560610008,10000,1,190,0.51035,39531171,0.98977
cspg,2,32,128,41.4181,1560610008,10000,1,200,0.510417,41123625,0.98986
cspg,2,32,128,41.4181,1560610008,10000,1,210,0.543321,42709135,0.98992
cspg,2,32,128,41.4181,1560610008,10000,1,220,0.526992,44261885,0.98995
cspg,2,32,128,41.4181,1560610008,10000,1,230,0.53897,45808165,0.99006
cspg,2,32,128,41.4181,1560610008,10000,1,240,0.552311,47331816,0.99006
cspg,2,32,128,41.4181,1560610008,10000,1,250,0.587948,48846926,0.99009
cspg,2,32,128,41.4181,1560610008,10000,1,260,0.581524,50351160,0.99011
cspg,2,32,128,41.4181,1560610008,10000,1,270,0.596315,51834553,0.99013
cspg,2,32,128,41.4181,1560610008,10000,1,280,0.631278,53311493,0.99014
cspg,2,32,128,41.4181,1560610008,10000,1,290,0.625382,54771363,0.99014
cspg,2,32,128,41.4181,1560610008,10000,1,300,0.635658,56213144,0.99014
cspg,2,32,128,41.4181,1560610008,10000,2,10,0.0621261,6449679,0.859
cspg,2,32,128,41.4181,1560610008,10000,2,20,0.0869344,8991360,0.9393
cspg,2,32,128,41.4181,1560610008,10000,2,30,0.114475,11292401,0.9648
cspg,2,32,128,41.4181,1560610008,10000,2,40,0.13767,13472312,0.97626
cspg,2,32,128,41.4181,1560610008,10000,2,50,0.170286,15582293,0.98153
cspg,2,32,128,41.4181,1560610008,10000,2,60,0.188422,17632357,0.98431
cspg,2,32,128,41.4181,1560610008,10000,2,70,0.223398,19614448,0.98615
cspg,2,32,128,41.4181,1560610008,10000,2,80,0.236177,21561131,0.98762
cspg,2,32,128,41.4181,1560610008,10000,2,90,0.264439,23469843,0.98849
cspg,2,32,128,41.4181,1560610008,10000,2,100,0.295886,25327595,0.98911
cspg,2,32,128,41.4181,1560610008,10000,2,110,0.309437,27152813,0.98938
cspg,2,32,128,41.4181,1560610008,10000,2,120,0.330177,28956088,0.9898
cspg,2,32,128,41.4181,1560610008,10000,2,130,0.35279,30715641,0.99007
cspg,2,32,128,41.4181,1560610008,10000,2,140,0.381173,32455620,0.9902
cspg,2,32,128,41.4181,1560610008,10000,2,150,0.388479,34169755,0.99031
cspg,2,32,128,41.4181,1560610008,10000,2,160,0.46473,35850402,0.99035
