index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,1.2,128,139.827,1356000000,10000,1,10,0.0554238,5849582,0.88115
cspg,2,32,1.2,128,139.827,1356000000,10000,1,20,0.0786097,7944998,0.95564
cspg,2,32,1.2,128,139.827,1356000000,10000,1,30,0.101228,9840341,0.97743
cspg,2,32,1.2,128,139.827,1356000000,10000,1,40,0.120329,11649634,0.98686
cspg,2,32,1.2,128,139.827,1356000000,10000,1,50,0.141928,13405825,0.99211
cspg,2,32,1.2,128,139.827,1356000000,10000,1,60,0.163309,15109847,0.99436
cspg,2,32,1.2,128,139.827,1356000000,10000,1,70,0.183534,16781164,0.99616
cspg,2,32,1.2,128,139.827,1356000000,10000,1,80,0.205097,18406497,0.99722
cspg,2,32,1.2,128,139.827,1356000000,10000,1,90,0.249502,19994940,0.99777
cspg,2,32,1.2,128,139.827,1356000000,10000,1,100,0.243592,21562585,0.99829
cspg,2,32,1.2,128,139.827,1356000000,10000,1,110,0.257845,23098401,0.99863
cspg,2,32,1.2,128,139.827,1356000000,10000,1,120,0.277212,24613864,0.99886
cspg,2,32,1.2,128,139.827,1356000000,10000,1,130,0.292811,26101777,0.99918
cspg,2,32,1.2,128,139.827,1356000000,10000,1,140,0.307321,27569769,0.99933
cspg,2,32,1.2,128,139.827,1356000000,10000,1,150,0.323957,29017974,0.99942
cspg,2,32,1.2,128,139.827,1356000000,10000,1,160,0.338543,30441387,0.99952
cspg,2,32,1.2,128,139.827,1356000000,10000,1,170,0.355132,31853772,0.99953
cspg,2,32,1.2,128,139.827,1356000000,10000,1,180,0.513305,33240733,0.9996
cspg,2,32,1.2,128,139.827,1356000000,10000,1,190,0.868981,34622212,0.99964
cspg,2,32,1.2,128,139.827,1356000000,10000,1,200,0.932754,35985268,0.9997
cspg,2,32,1.2,128,139.827,1356000000,10000,1,210,0.977485,37331537,0.99972
cspg,2,32,1.2,128,139.827,1356000000,10000,1,220,0.998399,38667271,0.99974
cspg,2,32,1.2,128,139.827,1356000000,10000,1,230,1.04602,39987470,0.99977
cspg,2,32,1.2,128,139.827,1356000000,10000,1,240,0.969339,41297010,0.99979
cspg,2,32,1.2,128,139.827,1356000000,10000,1,250,0.488717,42593042,0.99984
cspg,2,32,1.2,128,139.827,1356000000,10000,1,260,0.513338,43876214,0.99985
cspg,2,32,1.2,128,139.827,1356000000,10000,1,270,0.586828,45151958,0.99986
cspg,2,32,1.2,128,139.827,1356000000,10000,1,280,0.572942,46419990,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,1,290,0.558379,47670715,0.99988
cspg,2,32,1.2,128,139.827,1356000000,10000,1,300,0.564442,48915206,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,2,10,0.0642138,5323513,0.88391
cspg,2,32,1.2,128,139.827,1356000000,10000,2,20,0.0914351,7379089,0.95455
cspg,2,32,1.2,128,139.827,1356000000,10000,2,30,0.11297,9270561,0.97678
cspg,2,32,1.2,128,139.827,1356000000,10000,2,40,0.137046,11049386,0.98624
cspg,2,32,1.2,128,139.827,1356000000,10000,2,50,0.161259,12781636,0.99138
cspg,2,32,1.2,128,139.827,1356000000,10000,2,60,0.181821,14472073,0.99406
cspg,2,32,1.2,128,139.827,1356000000,10000,2,70,0.203141,16138543,0.99598
cspg,2,32,1.2,128,139.827,1356000000,10000,2,80,0.225219,17744396,0.99703
cspg,2,32,1.2,128,139.827,1356000000,10000,2,90,0.248741,19326892,0.99759
cspg,2,32,1.2,128,139.827,1356000000,10000,2,100,0.258922,20884243,0.9983
cspg,2,32,1.2,128,139.827,1356000000,10000,2,110,0.261982,22413267,0.99852
cspg,2,32,1.2,128,139.827,1356000000,10000,2,120,0.273783,23920716,0.99875
cspg,2,32,1.2,128,139.827,1356000000,10000,2,130,0.304394,25398562,0.99923
cspg,2,32,1.2,128,139.827,1356000000,10000,2,140,0.319455,26867759,0.99936
cspg,2,32,1.2,128,139.827,1356000000,10000,2,150,0.32748,28300772,0.99944
cspg,2,32,1.2,128,139.827,1356000000,10000,2,160,0.342586,29718722,0.99951
cspg,2,32,1.2,128,139.827,1356000000,10000,2,170,0.365105,31124100,0.99955
cspg,2,32,1.2,128,139.827,1356000000,10000,2,180,0.374675,32507946,0.99959
cspg,2,32,1.2,128,139.827,1356000000,10000,2,190,0.385212,33883998,0.99968
cspg,2,32,1.2,128,139.827,1356000000,10000,2,200,0.405766,35233677,0.99973
cspg,2,32,1.2,128,139.827,1356000000,10000,2,210,0.424924,36585713,0.99977
cspg,2,32,1.2,128,139.827,1356000000,10000,2,220,0.455113,37909320,0.99976
cspg,2,32,1.2,128,139.827,1356000000,10000,2,230,0.502147,39235071,0.99981
cspg,2,32,1.2,128,139.827,1356000000,10000,2,240,0.511351,40531080,0.99985
cspg,2,32,1.2,128,139.827,1356000000,10000,2,250,0.529867,41825604,0.99984
cspg,2,32,1.2,128,139.827,1356000000,10000,2,260,0.529607,43099724,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,2,270,0.549649,44381793,0.99988
cspg,2,32,1.2,128,139.827,1356000000,10000,2,280,0.572555,45636970,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,2,290,0.586765,46886957,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,2,300,0.607866,48125413,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,4,10,0.0642984,5297537,0.88418
cspg,2,32,1.2,128,139.827,1356000000,10000,4,20,0.0929067,7357090,0.95442
cspg,2,32,1.2,128,139.827,1356000000,10000,4,30,0.115938,9241333,0.97678
cspg,2,32,1.2,128,139.827,1356000000,10000,4,40,0.143083,11038336,0.98592
cspg,2,32,1.2,128,139.827,1356000000,10000,4,50,0.16354,12768800,0.99152
cspg,2,32,1.2,128,139.827,1356000000,10000,4,60,0.183324,14473326,0.99418
cspg,2,32,1.2,128,139.827,1356000000,10000,4,70,0.20354,16145489,0.99596
cspg,2,32,1.2,128,139.827,1356000000,10000,4,80,0.22409,17749598,0.99702
cspg,2,32,1.2,128,139.827,1356000000,10000,4,90,0.248462,19335435,0.99763
cspg,2,32,1.2,128,139.827,1356000000,10000,4,100,0.271713,20903765,0.99825
cspg,2,32,1.2,128,139.827,1356000000,10000,4,110,0.288201,22421942,0.99848
cspg,2,32,1.2,128,139.827,1356000000,10000,4,120,0.307036,23933445,0.99883
cspg,2,32,1.2,128,139.827,1356000000,10000,4,130,0.330619,25422606,0.99916
cspg,2,32,1.2,128,139.827,1356000000,10000,4,140,0.347017,26876096,0.99934
cspg,2,32,1.2,128,139.827,1356000000,10000,4,150,0.367582,28321630,0.99944
cspg,2,32,1.2,128,139.827,1356000000,10000,4,160,0.386422,29734455,0.99951
cspg,2,32,1.2,128,139.827,1356000000,10000,4,170,0.407205,31151420,0.99952
cspg,2,32,1.2,128,139.827,1356000000,10000,4,180,0.427192,32524307,0.9996
cspg,2,32,1.2,128,139.827,1356000000,10000,4,190,0.441465,33902906,0.99964
cspg,2,32,1.2,128,139.827,1356000000,10000,4,200,0.461915,35262176,0.99971
cspg,2,32,1.2,128,139.827,1356000000,10000,4,210,0.480422,36609433,0.99973
cspg,2,32,1.2,128,139.827,1356000000,10000,4,220,0.491954,37944048,0.99975
cspg,2,32,1.2,128,139.827,1356000000,10000,4,230,0.510468,39259665,0.99977
cspg,2,32,1.2,128,139.827,1356000000,10000,4,240,0.520999,40569885,0.9998
cspg,2,32,1.2,128,139.827,1356000000,10000,4,250,0.545497,41857334,0.99984
cspg,2,32,1.2,128,139.827,1356000000,10000,4,260,0.510552,43136675,0.99985
cspg,2,32,1.2,128,139.827,1356000000,10000,4,270,0.514321,44408882,0.99986
cspg,2,32,1.2,128,139.827,1356000000,10000,4,280,0.530856,45673776,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,4,290,0.540323,46926776,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,4,300,0.55293,48157013,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,8,10,0.0632201,5576150,0.88455
cspg,2,32,1.2,128,139.827,1356000000,10000,8,20,0.0852794,7658663,0.95495
cspg,2,32,1.2,128,139.827,1356000000,10000,8,30,0.107173,9582747,0.97735
cspg,2,32,1.2,128,139.827,1356000000,10000,8,40,0.129812,11413149,0.9866
cspg,2,32,1.2,128,139.827,1356000000,10000,8,50,0.146402,13172745,0.99169
cspg,2,32,1.2,128,139.827,1356000000,10000,8,60,0.166437,14883031,0.99448
cspg,2,32,1.2,128,139.827,1356000000,10000,8,70,0.184545,16570488,0.9962
cspg,2,32,1.2,128,139.827,1356000000,10000,8,80,0.201694,18202505,0.9972
cspg,2,32,1.2,128,139.827,1356000000,10000,8,90,0.214681,19803712,0.9977
cspg,2,32,1.2,128,139.827,1356000000,10000,8,100,0.234628,21385570,0.99825
cspg,2,32,1.2,128,139.827,1356000000,10000,8,110,0.254069,22919868,0.99863
cspg,2,32,1.2,128,139.827,1356000000,10000,8,120,0.281361,24452167,0.99895
cspg,2,32,1.2,128,139.827,1356000000,10000,8,130,0.290657,25937417,0.99928
cspg,2,32,1.2,128,139.827,1356000000,10000,8,140,0.315195,27412051,0.99942
cspg,2,32,1.2,128,139.827,1356000000,10000,8,150,0.354607,28865573,0.9995
cspg,2,32,1.2,128,139.827,1356000000,10000,8,160,0.380085,30289834,0.99959
cspg,2,32,1.2,128,139.827,1356000000,10000,8,170,0.364044,31708305,0.99962
cspg,2,32,1.2,128,139.827,1356000000,10000,8,180,0.374494,33101186,0.99961
cspg,2,32,1.2,128,139.827,1356000000,10000,8,190,0.396196,34481448,0.99966
cspg,2,32,1.2,128,139.827,1356000000,10000,8,200,0.402297,35849935,0.99974
cspg,2,32,1.2,128,139.827,1356000000,10000,8,210,0.419618,37205460,0.99976
cspg,2,32,1.2,128,139.827,1356000000,10000,8,220,0.449372,38539903,0.99978
cspg,2,32,1.2,128,139.827,1356000000,10000,8,230,0.451612,39863763,0.99978
cspg,2,32,1.2,128,139.827,1356000000,10000,8,240,0.475299,41172974,0.9998
cspg,2,32,1.2,128,139.827,1356000000,10000,8,250,0.493625,42474515,0.99984
cspg,2,32,1.2,128,139.827,1356000000,10000,8,260,0.511572,43759982,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,8,270,0.521477,45039695,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,8,280,0.540656,46307305,0.99988
cspg,2,32,1.2,128,139.827,1356000000,10000,8,290,0.563805,47559907,0.99991
cspg,2,32,1.2,128,139.827,1356000000,10000,8,300,0.585731,48804026,0.9999
cspg,2,32,1.2,128,139.827,1356000000,10000,16,10,0.0759527,7371653,0.89069
cspg,2,32,1.2,128,139.827,1356000000,10000,16,20,0.0961943,9536066,0.9579
cspg,2,32,1.2,128,139.827,1356000000,10000,16,30,0.12081,11507999,0.97872
cspg,2,32,1.2,128,139.827,1356000000,10000,16,40,0.143963,13372481,0.98759
cspg,2,32,1.2,128,139.827,1356000000,10000,16,50,0.168003,15161245,0.99236
cspg,2,32,1.2,128,139.827,1356000000,10000,16,60,0.182447,16904490,0.99464
cspg,2,32,1.2,128,139.827,1356000000,10000,16,70,0.205606,18601713,0.99652
cspg,2,32,1.2,128,139.827,1356000000,10000,16,80,0.222891,20253002,0.99758
cspg,2,32,1.2,128,139.827,1356000000,10000,16,90,0.245483,21864642,0.99823
cspg,2,32,1.2,128,139.827,1356000000,10000,16,100,0.264814,23452803,0.99856
cspg,2,32,1.2,128,139.827,1356000000,10000,16,110,0.284376,25004272,0.99867
cspg,2,32,1.2,128,139.827,1356000000,10000,16,120,0.301169,26537986,0.99898
cspg,2,32,1.2,128,139.827,1356000000,10000,16,130,0.318553,28039992,0.99934
cspg,2,32,1.2,128,139.827,1356000000,10000,16,140,0.340884,29514002,0.99944
cspg,2,32,1.2,128,139.827,1356000000,10000,16,150,0.359658,30980477,0.99954
cspg,2,32,1.2,128,139.827,1356000000,10000,16,160,0.380123,32412506,0.99963
cspg,2,32,1.2,128,139.827,1356000000,10000,16,170,0.394543,33831599,0.99964
cspg,2,32,1.2,128,139.827,1356000000,10000,16,180,0.410346,35226065,0.99967
cspg,2,32,1.2,128,139.827,1356000000,10000,16,190,0.441976,36611391,0.99969
cspg,2,32,1.2,128,139.827,1356000000,10000,16,200,0.454362,37983465,0.99977
cspg,2,32,1.2,128,139.827,1356000000,10000,16,210,0.500991,39339686,0.99977
cspg,2,32,1.2,128,139.827,1356000000,10000,16,220,0.536641,40679656,0.9998
cspg,2,32,1.2,128,139.827,1356000000,10000,16,230,0.502703,42007782,0.9998
cspg,2,32,1.2,128,139.827,1356000000,10000,16,240,0.535181,43320767,0.99983
cspg,2,32,1.2,128,139.827,1356000000,10000,16,250,0.536253,44623136,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,16,260,0.562416,45905544,0.99987
cspg,2,32,1.2,128,139.827,1356000000,10000,16,270,0.569731,47184981,0.99988
cspg,2,32,1.2,128,139.827,1356000000,10000,16,280,0.582755,48458880,0.99989
cspg,2,32,1.2,128,139.827,1356000000,10000,16,290,0.597981,49716211,0.99991
cspg,2,32,1.2,128,139.827,1356000000,10000,16,300,0.629569,50963008,0.99991
