index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,128,349.742,11928607560,1000,1,10,0.0907362,653246,0.5544
cspg,2,32,128,349.742,11928607560,1000,1,20,0.13491,969135,0.7094
cspg,2,32,128,349.742,11928607560,1000,1,30,0.15679,1251922,0.7907
cspg,2,32,128,349.742,11928607560,1000,1,40,0.196307,1515569,0.8405
cspg,2,32,128,349.742,11928607560,1000,1,50,0.226793,1761861,0.8777
cspg,2,32,128,349.742,11928607560,1000,1,60,0.246123,1999842,0.9044
cspg,2,32,128,349.742,11928607560,1000,1,70,0.263512,2235587,0.9207
cspg,2,32,128,349.742,11928607560,1000,1,80,0.316687,2462024,0.9321
cspg,2,32,128,349.742,11928607560,1000,1,90,0.338954,2698696,0.943
cspg,2,32,128,349.742,11928607560,1000,1,100,0.345672,2923640,0.9495
cspg,2,32,128,349.742,11928607560,1000,1,110,0.382014,3149609,0.9556
cspg,2,32,128,349.742,11928607560,1000,1,120,0.405041,3365099,0.9605
cspg,2,32,128,349.742,11928607560,1000,1,130,0.428941,3586206,0.9676
cspg,2,32,128,349.742,11928607560,1000,1,140,0.477867,3800139,0.9694
cspg,2,32,128,349.742,11928607560,1000,1,150,0.516573,4012283,0.9734
cspg,2,32,128,349.742,11928607560,1000,1,160,0.507108,4225514,0.9774
cspg,2,32,128,349.742,11928607560,1000,1,170,0.521338,4434208,0.9803
cspg,2,32,128,349.742,11928607560,1000,1,180,0.569185,4644796,0.9816
cspg,2,32,128,349.742,11928607560,1000,1,190,0.574747,4851416,0.9831
cspg,2,32,128,349.742,11928607560,1000,1,200,0.628127,5055850,0.9848
cspg,2,32,128,349.742,11928607560,1000,1,210,0.629667,5256265,0.9856
cspg,2,32,128,349.742,11928607560,1000,1,220,0.639292,5459555,0.986
cspg,2,32,128,349.742,11928607560,1000,1,230,0.669294,5659716,0.9867
cspg,2,32,128,349.742,11928607560,1000,1,240,0.693108,5856525,0.9873
cspg,2,32,128,349.742,11928607560,1000,1,250,0.727863,6056334,0.9882
cspg,2,32,128,349.742,11928607560,1000,1,260,0.772196,6252771,0.9891
cspg,2,32,128,349.742,11928607560,1000,1,270,0.802222,6445329,0.99
cspg,2,32,128,349.742,11928607560,1000,1,280,0.838377,6637227,0.9906
cspg,2,32,128,349.742,11928607560,1000,1,290,0.816843,6829561,0.991
cspg,2,32,128,349.742,11928607560,1000,1,300,0.844549,7021774,0.9923
cspg,2,32,128,349.742,11928607560,1000,2,10,0.104131,728138,0.5686
cspg,2,32,128,349.742,11928607560,1000,2,20,0.148034,1050999,0.7241
cspg,2,32,128,349.742,11928607560,1000,2,30,0.15707,1333580,0.7993
cspg,2,32,128,349.742,11928607560,1000,2,40,0.193079,1602188,0.8476
cspg,2,32,128,349.742,11928607560,1000,2,50,0.231357,1850367,0.8843
cspg,2,32,128,349.742,11928607560,1000,2,60,0.255242,2093730,0.9097
cspg,2,32,128,349.742,11928607560,1000,2,70,0.30612,2332563,0.9259
cspg,2,32,128,349.742,11928607560,1000,2,80,0.323646,2562096,0.9368
cspg,2,32,128,349.742,11928607560,1000,2,90,0.335532,2799383,0.9463
cspg,2,32,128,349.742,11928607560,1000,2,100,0.356587,3024396,0.953
cspg,2,32,128,349.742,11928607560,1000,2,110,0.386516,3251722,0.9582
cspg,2,32,128,349.742,11928607560,1000,2,120,0.415166,3471331,0.9635
cspg,2,32,128,349.742,11928607560,1000,2,130,0.439953,3692571,0.9695
cspg,2,32,128,349.742,11928607560,1000,2,140,0.499045,3906446,0.9714
cspg,2,32,128,349.742,11928607560,1000,2,150,0.494429,4122017,0.975
cspg,2,32,128,349.742,11928607560,1000,2,160,0.53058,4334416,0.9789
cspg,2,32,128,349.742,11928607560,1000,2,170,0.533778,4544582,0.9812
cspg,2,32,128,349.742,11928607560,1000,2,180,0.567047,4757853,0.9828
cspg,2,32,128,349.742,11928607560,1000,2,190,0.594977,4964157,0.9837
cspg,2,32,128,349.742,11928607560,1000,2,200,0.632173,5172359,0.9856
cspg,2,32,128,349.742,11928607560,1000,2,210,0.671884,5373224,0.9865
cspg,2,32,128,349.742,11928607560,1000,2,220,0.676147,5574594,0.9869
cspg,2,32,128,349.742,11928607560,1000,2,230,0.691117,5775933,0.9876
cspg,2,32,128,349.742,11928607560,1000,2,240,0.732472,5974103,0.9882
cspg,2,32,128,349.742,11928607560,1000,2,250,0.756441,6174637,0.9891
cspg,2,32,128,349.742,11928607560,1000,2,260,0.756338,6373033,0.9897
cspg,2,32,128,349.742,11928607560,1000,2,270,0.783799,6565884,0.9904
cspg,2,32,128,349.742,11928607560,1000,2,280,0.806418,6757763,0.9912
