index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,1.2,128,584.027,11724000000,1000,1,10,0.0692517,603182,0.5195
cspg,2,32,1.2,128,584.027,11724000000,1000,1,20,0.0950615,878625,0.6948
cspg,2,32,1.2,128,584.027,11724000000,1000,1,30,0.116904,1107671,0.774
cspg,2,32,1.2,128,584.027,11724000000,1000,1,40,0.154042,1319605,0.8269
cspg,2,32,1.2,128,584.027,11724000000,1000,1,50,0.181252,1514492,0.8607
cspg,2,32,1.2,128,584.027,11724000000,1000,1,60,0.194852,1699767,0.888
cspg,2,32,1.2,128,584.027,11724000000,1000,1,70,0.216289,1880644,0.9042
cspg,2,32,1.2,128,584.027,11724000000,1000,1,80,0.238983,2066167,0.9216
cspg,2,32,1.2,128,584.027,11724000000,1000,1,90,0.256721,2245693,0.9322
cspg,2,32,1.2,128,584.027,11724000000,1000,1,100,0.270722,2413163,0.9399
cspg,2,32,1.2,128,584.027,11724000000,1000,1,110,0.298966,2582999,0.9476
cspg,2,32,1.2,128,584.027,11724000000,1000,1,120,0.320024,2752222,0.9548
cspg,2,32,1.2,128,584.027,11724000000,1000,1,130,0.320699,2918868,0.9598
cspg,2,32,1.2,128,584.027,11724000000,1000,1,140,0.358889,3083453,0.9641
cspg,2,32,1.2,128,584.027,11724000000,1000,1,150,0.393757,3246317,0.968
cspg,2,32,1.2,128,584.027,11724000000,1000,1,160,0.403102,3405137,0.9712
cspg,2,32,1.2,128,584.027,11724000000,1000,1,170,0.408575,3565117,0.9729
cspg,2,32,1.2,128,584.027,11724000000,1000,1,180,0.431046,3723143,0.9752
cspg,2,32,1.2,128,584.027,11724000000,1000,1,190,0.45646,3878037,0.978
cspg,2,32,1.2,128,584.027,11724000000,1000,1,200,0.480254,4028974,0.979
cspg,2,32,1.2,128,584.027,11724000000,1000,1,210,0.484418,4182087,0.9802
cspg,2,32,1.2,128,584.027,11724000000,1000,1,220,0.489144,4331898,0.9818
cspg,2,32,1.2,128,584.027,11724000000,1000,1,230,0.515245,4482789,0.9835
cspg,2,32,1.2,128,584.027,11724000000,1000,1,240,0.523735,4629938,0.9845
cspg,2,32,1.2,128,584.027,11724000000,1000,1,250,0.556902,4775898,0.9862
cspg,2,32,1.2,128,584.027,11724000000,1000,1,260,0.576455,4920172,0.9875
cspg,2,32,1.2,128,584.027,11724000000,1000,1,270,0.59915,5063927,0.9884
cspg,2,32,1.2,128,584.027,11724000000,1000,1,280,0.614904,5210114,0.9897
cspg,2,32,1.2,128,584.027,11724000000,1000,1,290,0.64178,5353027,0.9907
cspg,2,32,1.2,128,584.027,11724000000,1000,1,300,0.657331,5492125,0.9918
cspg,2,32,1.2,128,584.027,11724000000,1000,2,10,0.072766,563613,0.5351
cspg,2,32,1.2,128,584.027,11724000000,1000,2,20,0.122276,835054,0.6951
cspg,2,32,1.2,128,584.027,11724000000,1000,2,30,0.148836,1064690,0.775
cspg,2,32,1.2,128,584.027,11724000000,1000,2,40,0.173279,1267218,0.8274
cspg,2,32,1.2,128,584.027,11724000000,1000,2,50,0.198572,1470908,0.8635
cspg,2,32,1.2,128,584.027,11724000000,1000,2,60,0.21296,1646222,0.8867
cspg,2,32,1.2,128,584.027,11724000000,1000,2,70,0.257014,1831147,0.905
cspg,2,32,1.2,128,584.027,11724000000,1000,2,80,0.241814,2020427,0.9218
cspg,2,32,1.2,128,584.027,11724000000,1000,2,90,0.265623,2197570,0.9319
cspg,2,32,1.2,128,584.027,11724000000,1000,2,100,0.299311,2366031,0.9404
cspg,2,32,1.2,128,584.027,11724000000,1000,2,110,0.318193,2543158,0.9477
cspg,2,32,1.2,128,584.027,11724000000,1000,2,120,0.32391,2711891,0.9567
cspg,2,32,1.2,128,584.027,11724000000,1000,2,130,0.367602,2875402,0.9605
cspg,2,32,1.2,128,584.027,11724000000,1000,2,140,0.366603,3040105,0.9645
cspg,2,32,1.2,128,584.027,11724000000,1000,2,150,0.409564,3203204,0.9681
cspg,2,32,1.2,128,584.027,11724000000,1000,2,160,0.388333,3360559,0.9699
cspg,2,32,1.2,128,584.027,11724000000,1000,2,170,0.406483,3521717,0.9722
cspg,2,32,1.2,128,584.027,11724000000,1000,2,180,0.434725,3675617,0.9757
cspg,2,32,1.2,128,584.027,11724000000,1000,2,190,0.454383,3834894,0.978
cspg,2,32,1.2,128,584.027,11724000000,1000,2,200,0.452652,3983069,0.9789
cspg,2,32,1.2,128,584.027,11724000000,1000,2,210,0.497931,4138300,0.9806
cspg,2,32,1.2,128,584.027,11724000000,1000,2,220,0.503064,4286332,0.9816
cspg,2,32,1.2,128,584.027,11724000000,1000,2,230,0.560423,4441806,0.9831
cspg,2,32,1.2,128,584.027,11724000000,1000,2,240,0.55011,4590689,0.9849
cspg,2,32,1.2,128,584.027,11724000000,1000,2,250,0.553403,4734219,0.9863
cspg,2,32,1.2,128,584.027,11724000000,1000,2,260,0.583938,4876982,0.9878
cspg,2,32,1.2,128,584.027,11724000000,1000,2,270,0.58349,5022709,0.9888
cspg,2,32,1.2,128,584.027,11724000000,1000,2,280,0.599664,5171007,0.9899
cspg,2,32,1.2,128,584.027,11724000000,1000,2,290,0.620096,5314392,0.9907
cspg,2,32,1.2,128,584.027,11724000000,1000,2,300,0.641261,5453146,0.9922
cspg,2,32,1.2,128,584.027,11724000000,1000,4,10,0.0814499,570300,0.5369
cspg,2,32,1.2,128,584.027,11724000000,1000,4,20,0.125416,832258,0.6904
cspg,2,32,1.2,128,584.027,11724000000,1000,4,30,0.134779,1065607,0.7803
cspg,2,32,1.2,128,584.027,11724000000,1000,4,40,0.17495,1273036,0.8276
cspg,2,32,1.2,128,584.027,11724000000,1000,4,50,0.192526,1471492,0.8603
cspg,2,32,1.2,128,584.027,11724000000,1000,4,60,0.218723,1664873,0.8857
cspg,2,32,1.2,128,584.027,11724000000,1000,4,70,0.218875,1847438,0.9052
cspg,2,32,1.2,128,584.027,11724000000,1000,4,80,0.236852,2021019,0.9243
cspg,2,32,1.2,128,584.027,11724000000,1000,4,90,0.277529,2203914,0.9324
cspg,2,32,1.2,128,584.027,11724000000,1000,4,100,0.29816,2375023,0.9413
cspg,2,32,1.2,128,584.027,11724000000,1000,4,110,0.302649,2544177,0.9475
cspg,2,32,1.2,128,584.027,11724000000,1000,4,120,0.33407,2717785,0.9544
cspg,2,32,1.2,128,584.027,11724000000,1000,4,130,0.350454,2884530,0.9603
cspg,2,32,1.2,128,584.027,11724000000,1000,4,140,0.377303,3043623,0.9642
cspg,2,32,1.2,128,584.027,11724000000,1000,4,150,0.376018,3215052,0.968
cspg,2,32,1.2,128,584.027,11724000000,1000,4,160,0.399178,3369880,0.971
