index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,128,47.9607,1944609464,10000,1,10,0.0720554,5410776,0.83293
cspg,2,32,128,47.9607,1944609464,10000,1,20,0.109887,7752851,0.92822
cspg,2,32,128,47.9607,1944609464,10000,1,30,0.136917,9897918,0.95898
cspg,2,32,128,47.9607,1944609464,10000,1,40,0.171107,11942767,0.97338
cspg,2,32,128,47.9607,1944609464,10000,1,50,0.204993,13955034,0.97997
cspg,2,32,128,47.9607,1944609464,10000,1,60,0.23434,15926402,0.98414
cspg,2,32,128,47.9607,1944609464,10000,1,70,0.263734,17859217,0.98638
cspg,2,32,128,47.9607,1944609464,10000,1,80,0.291429,19766630,0.98782
cspg,2,32,128,47.9607,1944609464,10000,1,90,0.322448,21632195,0.98876
cspg,2,32,128,47.9607,1944609464,10000,1,100,0.348217,23480174,0.98959
cspg,2,32,128,47.9607,1944609464,10000,1,110,0.365526,25297305,0.99008
cspg,2,32,128,47.9607,1944609464,10000,1,120,0.393308,27092605,0.99036
cspg,2,32,128,47.9607,1944609464,10000,1,130,0.411148,28866837,0.99069
cspg,2,32,128,47.9607,1944609464,10000,1,140,0.532415,30616919,0.9908
cspg,2,32,128,47.9607,1944609464,10000,1,150,0.523618,32344521,0.99092
cspg,2,32,128,47.9607,1944609464,10000,1,160,0.523712,34054410,0.99109
cspg,2,32,128,47.9607,1944609464,10000,1,170,0.518757,35746877,0.99115
cspg,2,32,128,47.9607,1944609464,10000,1,180,0.540371,37413371,0.99122
cspg,2,32,128,47.9607,1944609464,10000,1,190,0.566058,39061114,0.99125
cspg,2,32,128,47.9607,1944609464,10000,1,200,0.597684,40695038,0.99127
cspg,2,32,128,47.9607,1944609464,10000,1,210,0.640361,42307834,0.99129
cspg,2,32,128,47.9607,1944609464,10000,1,220,0.645902,43914706,0.99132
cspg,2,32,128,47.9607,1944609464,10000,1,230,0.66282,45511898,0.99135
cspg,2,32,128,47.9607,1944609464,10000,1,240,0.691953,47086993,0.99137
cspg,2,32,128,47.9607,1944609464,10000,1,250,0.74412,48651611,0.9914
cspg,2,32,128,47.9607,1944609464,10000,1,260,0.740984,50195735,0.99139
cspg,2,32,128,47.9607,1944609464,10000,1,270,0.746523,51738063,0.99141
cspg,2,32,128,47.9607,1944609464,10000,1,280,0.774201,53265124,0.99141
cspg,2,32,128,47.9607,1944609464,10000,1,290,0.804402,54780038,0.99142
cspg,2,32,128,47.9607,1944609464,10000,1,300,0.81501,56282534,0.99142
