index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 10, 0.0485818, 5053189, 0.78127, 0.515671
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 20, 0.0735756, 7373817, 0.8929, 0.672083
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 30, 0.0996436, 9560702, 0.93693, 0.753351
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 40, 0.121731, 11682759, 0.95844, 0.803281
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 50, 0.144815, 13748166, 0.97009, 0.836663
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 60, 0.167613, 15746249, 0.97722, 0.860479
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 70, 0.184743, 17693677, 0.98148, 0.878292
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 80, 0.214759, 19591308, 0.98486, 0.892105
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 90, 0.230378, 21443801, 0.98694, 0.903113
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 100, 0.244751, 23255745, 0.98867, 0.912082
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 110, 0.263427, 25033883, 0.98982, 0.919548
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 120, 0.283308, 26780189, 0.99074, 0.925845
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 130, 0.307396, 28495917, 0.99143, 0.931234
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 140, 0.329952, 30185738, 0.99196, 0.935899
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 150, 0.340309, 31843786, 0.99223, 0.939965
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 160, 0.353022, 33478793, 0.99249, 0.943549
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 170, 0.372462, 35092227, 0.99267, 0.946732
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 180, 0.392907, 36684544, 0.99296, 0.949575
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 190, 0.40806, 38254213, 0.99314, 0.952128
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 200, 0.427022, 39803979, 0.99325, 0.954438
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 210, 0.454081, 41339626, 0.9934, 0.956534
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 220, 0.471106, 42858055, 0.99348, 0.958447
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 230, 0.48994, 44359908, 0.99356, 0.960198
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 240, 0.499458, 45848799, 0.99362, 0.961809
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 250, 0.522542, 47323814, 0.99368, 0.963293
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 260, 0.538044, 48784571, 0.99374, 0.964667
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 270, 0.559682, 50233019, 0.99381, 0.965942
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 280, 0.574818, 51666741, 0.99387, 0.967128
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 290, 0.57285, 53091066, 0.99393, 0.968234
hnsw, 1, 32, 128, 11.8085, 136195856, 10000, 300, 0.600535, 54503921, 0.99395, 0.969269
