index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 10, 0.0732001, 5967378, 0.71404, 0.479387
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 20, 0.110834, 8691225, 0.83967, 0.635279
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 30, 0.146292, 11271724, 0.89512, 0.720263
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 40, 0.181716, 13785171, 0.92637, 0.773853
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 50, 0.212187, 16246525, 0.94543, 0.810358
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 60, 0.244212, 18652644, 0.958, 0.836935
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 70, 0.278416, 21013905, 0.96637, 0.857069
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 80, 0.305951, 23344469, 0.97272, 0.872845
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 90, 0.341028, 25637628, 0.97752, 0.885515
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 100, 0.375056, 27891607, 0.98123, 0.895874
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 110, 0.399311, 30104344, 0.98401, 0.904532
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 120, 0.428471, 32291403, 0.98635, 0.91187
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 130, 0.468114, 34451045, 0.98803, 0.918163
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 140, 0.497784, 36593640, 0.98928, 0.923629
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 150, 0.527996, 38704924, 0.99035, 0.928404
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 160, 0.547742, 40794990, 0.99119, 0.932621
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 170, 0.582755, 42862018, 0.99199, 0.936372
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 180, 0.611393, 44905743, 0.99272, 0.939728
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 190, 0.719285, 46934937, 0.99326, 0.94275
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 200, 0.743471, 48938319, 0.99379, 0.945482
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 210, 0.746528, 50931191, 0.9943, 0.947967
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 220, 0.837663, 52901710, 0.99483, 0.950234
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 230, 0.850521, 54852027, 0.99507, 0.952312
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 240, 0.867805, 56794055, 0.99535, 0.954224
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 250, 0.892074, 58713363, 0.99558, 0.955989
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 260, 0.918227, 60635213, 0.99579, 0.957624
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 270, 0.943216, 62536608, 0.9959, 0.959142
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 280, 0.973753, 64424958, 0.99608, 0.960552
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 290, 0.999845, 66300468, 0.99621, 0.961871
hnsw, 1, 32, 128, 203.858, 1361880496, 10000, 300, 1.02488, 68159736, 0.99635, 0.963104
