index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 10, 0.0536178, 3032895, 0.15492, 0.159
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 20, 0.086472, 5860741, 0.67479, 0.50834
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 30, 0.121106, 8636349, 0.80673, 0.664983
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 40, 0.151623, 11383361, 0.8593, 0.746705
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 50, 0.183323, 14113063, 0.88891, 0.796602
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 60, 0.211032, 16830105, 0.90667, 0.830115
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 70, 0.237024, 19541527, 0.92009, 0.854157
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 80, 0.281504, 22241394, 0.93008, 0.87227
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 90, 0.321412, 24928618, 0.93761, 0.88639
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 100, 0.36039, 27612139, 0.94354, 0.89769
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 110, 0.404111, 30282814, 0.94901, 0.90694
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 120, 0.439457, 32954618, 0.95329, 0.914658
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 130, 0.490555, 35619112, 0.95682, 0.921199
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 140, 0.5396, 38283378, 0.95983, 0.926806
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 150, 0.59465, 40946805, 0.96218, 0.931673
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 160, 0.641763, 43604556, 0.96429, 0.935932
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 170, 0.708553, 46256306, 0.96638, 0.939692
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 180, 0.77036, 48901431, 0.96822, 0.943036
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 190, 0.876521, 51542879, 0.96993, 0.946027
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 200, 0.952649, 54181510, 0.97137, 0.94872
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 210, 0.98133, 56820886, 0.97255, 0.951159
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 220, 1.03427, 59459837, 0.97375, 0.953375
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 230, 1.18537, 62092673, 0.97475, 0.9554
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 240, 1.24104, 64723454, 0.97568, 0.957256
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 250, 1.33038, 67354604, 0.97655, 0.958963
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 260, 1.33837, 69982735, 0.97767, 0.960539
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 270, 1.53134, 72604898, 0.97857, 0.961999
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 280, 1.64216, 75223849, 0.97933, 0.963355
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 290, 1.62421, 77842863, 0.97997, 0.964617
vamana, 1, 32, 1.2, 128, 553.411, 1320000000, 10000, 300, 1.71281, 80460715, 0.98057, 0.965794
